domain,platform_name,stack_family,framework_raw,online_status,tld,whois_reg_date,ssl_not_before,hosting_asn,ip_country,has_privacy,telegram,qq,operator_id,operator_domains,discovery_round,verdict,signal_tier,in_discovery,in_monitor,in_enriched,observed_hosts
ephone.chat,ePhone AI,confirmed-unknown,unknown,,chat,,,,,,,,ephone.ai,3,round2,confirmed,A_api_status,Y,,,api.ephone.chat
innk.cc,ePhone AI,confirmed-unknown,unknown,,cc,,,,,,,,ephone.ai,3,round9,confirmed,A_api_status,Y,,,chat.innk.cc
kuaiwenwen.top,快稳稳 API,one-api-family,new-api/one-api系,,top,,,,,,,,ainstant.pro,3,round2,confirmed,A_api_status,Y,,,api.kuaiwenwen.top
kwwai.top,快稳稳 API,one-api-family,new-api/one-api系,,top,,,,,,,,ainstant.pro,3,round2,confirmed,A_api_status,Y,,,api.kwwai.top
onechats.ai,OneChat API,one-api-family,new-api/one-api系,,ai,,,,,,,,onechats.ai,3,round9,confirmed,A_api_status,Y,,,chatapi.onechats.ai
onechats.cn,OneChat API,one-api-family,new-api/one-api系,,cn,,,,,,,,onechats.ai,3,round2,confirmed,A_api_status,Y,,,api.onechats.cn
onechats.top,OneChat API,one-api-family,new-api/one-api系,,top,,,,,,,,onechats.ai,3,round2,confirmed,A_api_status,Y,,,api.onechats.top;chatapi.onechats.top
poloai.top,PoloAPI,one-api-family,new-api/one-api系,,top,,,,,,,,poloai.top,3,round2,confirmed,A_api_status,Y,,,fast.poloai.top;poloai.top
poloapi.com,PoloAPI,one-api-family,new-api/one-api系,,com,,,,,,,,poloai.top,3,round2,confirmed,A_api_status,Y,,,xy.poloapi.com
poloapi.top,PoloAPI,one-api-family,new-api/one-api系,,top,,,,,,,,poloai.top,3,round2,confirmed,A_api_status,Y,,,poloapi.top
147ai.cn,147 AI,one-api-family,new-api/one-api系,,cn,,,,,,,,147ai.cn,2,round4,confirmed,A_api_status,Y,,,api.147ai.cn
147ai.com,147 AI,one-api-family,new-api/one-api系,,com,,,,,,,,147ai.cn,2,round1,confirmed,A_api_status,Y,,,147ai.com
4sapi.com,4SAPI,one-api-family,new-api/one-api系,,com,,,,,,,,4sapi.com,2,round1,confirmed,A_api_status,Y,,,4sapi.com
4sapi.net,4SAPI,one-api-family,new-api/one-api系,,net,,,,,,,,4sapi.com,2,round9,confirmed,A_api_status,Y,,,4sapi.net
ai-gaochao.cn,数标标API,one-api-family,new-api/one-api系,,cn,,,,,,,,ai-gaochao.cn,2,round2,confirmed,A_api_status,Y,,,api.ai-gaochao.cn
ai-szzx.online,数智AI,unlabeled,Nginx,ONLINE,online,2023-12-02,,AS45090 Shenzhen Tencent Computer Systems Company Limited,China,有,,,ai-szzx.online,2,,,,,Y,Y,ai-szzx.online
aigc456.top,钱多多 API,one-api-family,new-api/one-api系,,top,,,,,,,,aigc456.top,2,round9,confirmed,A_api_status,Y,,,aigc456.top
b886.top,CCTQ,unlabeled,,DNS_FAIL,top,2024-10-25,,,,无,,,b886.top,2,,,,,Y,Y,code.b886.top
bbww.top,旺旺中转站,one-api-family,new-api/one-api系,ONLINE,top,2026-03-17,,"AS13335 Cloudflare, Inc.",Canada,,,,bbww.top,2,round1,confirmed,A_api_status,Y,Y,Y,api.bbww.top
bearlab.ai,PRY API,one-api-family,new-api/one-api系,,ai,,,,,,,,bearlab.ai,2,round14,confirmed,A_api_status,Y,,,bearlab.ai
bjxrouter.com,北极星,one-api-family,new-api/one-api系,,com,,,,,,,,bjxrouter.com,2,round2,confirmed,A_api_status,Y,,,api.bjxrouter.com
bltcy.ai,柏拉图AI,one-api-family,new-api/one-api系,,ai,,,,,,,,bltcy.ai,2,round1,confirmed,A_api_status,Y,,,api.bltcy.ai
bltcy.top,柏拉图AI,one-api-family,new-api/one-api系,,top,,,,,,,,bltcy.ai,2,round2,confirmed,A_api_status,Y,,,api.bltcy.top;one-api.bltcy.top
bybing.cc,北极星,one-api-family,new-api/one-api系,,cc,,,,,,,,bjxrouter.com,2,round5,confirmed,A_api_status,Y,,,api.bybing.cc
ccfly.codes,CCFly,unlabeled,,ONLINE,codes,,,AS906 DMIT Cloud Services,United States,有,,,ccfly.codes,2,,,,,Y,Y,ccfly.codes
ccmax20.cc,baby,unlabeled,"Nginx, React",ONLINE,cc,2026-06-11,,AS16276 OVH SAS,United States,无,,,ccmax20.cc,2,,,,,Y,Y,ccmax20.cc
ccplus.site,ccfly,unlabeled,Vue,ONLINE,site,2026-01-29,,AS906 DMIT Cloud Services,United States,有,,"1025463125, 645507046",ccfly.codes,2,,,,,Y,Y,hk.ccplus.site
cctq.ai,CCTQ,one-api-family,new-api/one-api系,,ai,,,,,,,,b886.top,2,round7,confirmed,A_api_status,Y,,,www.cctq.ai
chatopens.vip,CHATOPENS/b站小光,unlabeled,未识别,ONLINE,vip,2025-02-19,,AS979 NetLab Global,United States,有,,,chatopens.vip,2,,,,,Y,Y,hos.chatopens.vip
cherryin.ai,CherryIN,one-api-family,new-api/one-api系,,ai,,,,,,,,cherryin.ai,2,round2,confirmed,A_api_status,Y,,,open.cherryin.ai
cherryin.net,CherryIN,one-api-family,new-api/one-api系,,net,,,,,,,,cherryin.ai,2,round5,confirmed,A_api_status,Y,,,open.cherryin.net
crond.dev,PRY API,one-api-family,new-api/one-api系,ONLINE,dev,,,"AS13335 Cloudflare, Inc.",Canada,无,,,bearlab.ai,2,round16,confirmed,A_api_status,Y,Y,Y,api.vip.crond.dev
cun.ai,CUN.AI,one-api-family,new-api/one-api系,,ai,,,,,,,,cun.ai,2,round16,confirmed,A_api_status,Y,,,cun.ai
dataeyes.ai,dataeyes API,one-api-family,new-api/one-api系,ONLINE,ai,2025-01-10,,"AS13335 Cloudflare, Inc.",Canada,有,,,dataeyes.ai,2,round1,confirmed,A_api_status,Y,Y,Y,cloud.dataeyes.ai;dataeyes.ai;www.dataeyes.ai
fushengyunsuan.cn,浮生云算,one-api-family,new-api/one-api系,,cn,,,,,,,,fushengyunsuan.cn,2,round5,confirmed,A_api_status,Y,,,fushengyunsuan.cn;image.fushengyunsuan.cn
fushengyunsuan.com,浮生云算,one-api-family,new-api/one-api系,,com,,,,,,,,fushengyunsuan.cn,2,round16,confirmed,A_api_status,Y,,,fushengyunsuan.com
gpt.ge,V-API,one-api-family,new-api/one-api系,ONLINE,ge,2023-10-27,,AS25820 IT7 Networks Inc,United States,无,,,gpt.ge,2,round16,confirmed,A_api_status,Y,Y,Y,api.gpt.ge
hcnsec.cn,新疆幻城网安科技公益大模型api,one-api-family,new-api/one-api系,,cn,,,,,,,,hcnsec.cn,2,round5,confirmed,A_api_status,Y,,,api.hcnsec.cn
hk.cn,VAMN,unlabeled,Nginx,ONLINE,cn,2024-08-12,,AS201106 Spartan Host Ltd,United States,无,,,chatopens.vip,2,,,,,Y,Y,claude.hk.cn
huiyun.asia,汇云AI,one-api-family,new-api/one-api系,ONLINE,asia,2026-05-18,,AS133199 SonderCloud Limited,Hong Kong,无,,,huiyun.asia,2,round16,confirmed,A_api_status,Y,Y,Y,huiyun.asia
hvoy_removed,旺旺中转站,unlabeled,,DNS_FAIL,hvoy_removed,,,,,无,,,bbww.top,2,,,,,Y,Y,hvoy_removed
iamhc.cn,新疆幻城网安科技公益大模型api,one-api-family,new-api/one-api系,,cn,,,,,,,,hcnsec.cn,2,round4,confirmed,A_api_status,Y,,,api.iamhc.cn
ifopen.ai,钱多多 API,one-api-family,new-api/one-api系,,ai,,,,,,,,aigc456.top,2,round2,confirmed,A_api_status,Y,,,api.ifopen.ai;us.ifopen.ai
jeniya.cn,简易-API中转站-专业的AI大模型API接口中转站平台API供应商,one-api-family,new-api/one-api系,,cn,,,,,,,,jeniya.cn,2,round6,confirmed,A_api_status,Y,,,jeniya.cn
jeniya.top,简易-API中转站-专业的AI大模型API接口中转站平台API供应商,one-api-family,new-api/one-api系,,top,,,,,,,,jeniya.cn,2,round5,confirmed,A_api_status,Y,,,jeniya.top
juxingai.top,聚星AI,one-api-family,new-api/one-api系,ONLINE,top,2026-05-08,,"AS45102 Alibaba (US) Technology Co., Ltd.",Hong Kong,无,,,huiyun.asia,2,round16,confirmed,A_api_status,Y,Y,Y,juxingai.top
max20.cn,Baby,one-api-family,new-api/one-api系,,cn,,,,,,,,ccmax20.cc,2,round16,confirmed,A_api_status,Y,,,max20.cn
newcli.com,企业专用Api,one-api-family,new-api/one-api系,CLOUDFLARE_OR_BLOCKED,com,2025-06-26,,"AS13335 Cloudflare, Inc.",Canada,无,,,dataeyes.ai,2,round7,confirmed,A_api_status,Y,Y,Y,business.newcli.com;code.newcli.com
paintbot.top,Pro API,one-api-family,new-api/one-api系,,top,,,,,,,,paintbot.top,2,round1,confirmed,A_api_status,Y,,,oneapi.paintbot.top
prorisehub.com,Pro API,one-api-family,new-api/one-api系,,com,,,,,,,,paintbot.top,2,round5,confirmed,A_api_status,Y,,,newapi.prorisehub.com
shubiaobiao.cn,数标标API,one-api-family,new-api/one-api系,,cn,,,,,,,,ai-gaochao.cn,2,round2,confirmed,A_api_status,Y,,,api.shubiaobiao.cn
sudocode.chat,SudoCode,unlabeled,"Cloudflare, React",ONLINE,chat,,,"AS13335 Cloudflare, Inc.",Canada,无,,,sudocode.chat,2,,,,,Y,Y,sudocode.chat
sudocode.us,SudoCode,one-api-family,new-api/one-api系,ONLINE,us,2026-03-12,,AS25820 IT7 Networks Inc,United States,无,,,sudocode.chat,2,round16,confirmed,A_api_status,Y,Y,Y,sudocode.us
vveai.com,V-API,one-api-family,new-api/one-api系,,com,,,,,,,,gpt.ge,2,round2,confirmed,A_api_status,Y,,,api.vveai.com
wintoken.dev,CUN.AI,one-api-family,new-api/one-api系,ONLINE,dev,,,"AS13335 Cloudflare, Inc.",Canada,有,,,cun.ai,2,round16,confirmed,A_api_status,Y,Y,Y,wintoken.dev
wlai.vip,云雾 API,one-api-family,new-api/one-api系,,vip,,,,,,,,wlai.vip,2,round2,confirmed,A_api_status,Y,,,api.wlai.vip;api3.wlai.vip
x-see.cn,小鲸 AI 开放平台,one-api-family,new-api/one-api系,,cn,,,,,,,,x-see.cn,2,round2,confirmed,A_api_status,Y,,,aigc.x-see.cn
xiaojingai.com,小鲸 AI 开放平台,one-api-family,new-api/one-api系,ONLINE,com,2024-09-20,,AS139341 ACE,Singapore,无,,,x-see.cn,2,round1,confirmed,A_api_status,Y,Y,Y,open.xiaojingai.com
xpluse.plus,数智AI,one-api-family,new-api/one-api系,CLOUDFLARE_OR_BLOCKED,plus,,,"AS13335 Cloudflare, Inc.",Canada,无,,,ai-szzx.online,2,round1,confirmed,A_api_status,Y,Y,Y,api.xpluse.plus
yansd666.com,烟神殿AI,one-api-family,new-api/one-api系,,com,,,,,,,,yansd666.com,2,round6,confirmed,A_api_status,Y,,,yansd666.com
yansd666.top,烟神殿AI,one-api-family,new-api/one-api系,,top,,,,,,,,yansd666.com,2,round7,confirmed,A_api_status,Y,,,yansd666.top
yunwu.ai,云雾 API,one-api-family,new-api/one-api系,,ai,,,,,,,,wlai.vip,2,round1,confirmed,A_api_status,Y,,,api.yunwu.ai;yunwu.ai
zlapi.pro,zzzzzll API 💕,one-api-family,new-api/one-api系,,pro,,,,,,,,zlapi.pro,2,round1,confirmed,A_api_status,Y,,,az.zlapi.pro
zlapi.vip,zzzzzll API 💕,one-api-family,new-api/one-api系,ONLINE,vip,2026-03-10,,AS979 NetLab Global,United States,无,,,zlapi.pro,2,round16,confirmed,A_api_status,Y,Y,Y,az.zlapi.vip
0029.org,,sub2api,sub2api,,org,,,,,,,,0029.org,1,round5,confirmed,C_framework+content,Y,,,www.0029.org
050602.xyz,LingxiCode,one-api-family,"Cloudflare, React, NewAPI",ONLINE,xyz,2025-11-14,,"AS13335 Cloudflare, Inc.",Canada,有,,,050602.xyz,1,,,,,Y,Y,new.050602.xyz
10dianai.com,10dian-API企业台,one-api-family,new-api/one-api系,,com,,,,,,,,10dianai.com,1,round1,confirmed,A_api_status,Y,,,cy.10dianai.com
112102.xyz,zifeiyu API,one-api-family,new-api/one-api系,,xyz,,,,,,,,112102.xyz,1,round10,confirmed,A_api_status,Y,,,ai.112102.xyz
121628.xyz,霸气公益平台,one-api-family,new-api/one-api系,,xyz,,,,,,,,121628.xyz,1,round9,confirmed,A_api_status,Y,,,ai.121628.xyz
123nhh.com,New API,one-api-family,new-api/one-api系,,com,,,,,,,,123nhh.com,1,round1,confirmed,A_api_status,Y,,,api.123nhh.com
123nhh.xyz,New API,one-api-family,new-api/one-api系,,xyz,,,,,,,,123nhh.xyz,1,round6,confirmed,A_api_status,Y,,,new.123nhh.xyz
12ai.org,12API,one-api-family,new-api/one-api系,,org,,,,,,,,12ai.org,1,round7,confirmed,A_api_status,Y,,,new.12ai.org
132999.xyz,加菲猫-API,one-api-family,new-api/one-api系,,xyz,,,,,,,,132999.xyz,1,round2,confirmed,A_api_status,Y,,,api.132999.xyz
17nas.com,镜核 AI,one-api-family,new-api/one-api系,CLOUDFLARE_OR_BLOCKED,com,2025-03-16,,"AS13335 Cloudflare, Inc.",Canada,无,,,17nas.com,1,round16,confirmed,A_api_status,Y,Y,Y,ai.17nas.com;api.17nas.com
180txt.cn,180txt,one-api-family,new-api/one-api系,,cn,,,,,,,,180txt.cn,1,round6,confirmed,A_api_status,Y,,,180txt.cn
1xm.ai,OneXModel,one-api-family,new-api/one-api系,ONLINE,ai,2026-03-06,,"AS13335 Cloudflare, Inc.",Canada,有,,,1xm.ai,1,round16,confirmed,A_api_status,Y,Y,Y,1xm.ai
2020111.xyz,老魔公益站,one-api-family,new-api/one-api系,,xyz,,,,,,,,2020111.xyz,1,round1,confirmed,A_api_status,Y,,,api.2020111.xyz
242243.xyz,小鸡农场,one-api-family,new-api/one-api系,,xyz,,,,,,,,242243.xyz,1,round11,confirmed,A_api_status,Y,,,api.242243.xyz
361888.xyz,New API,one-api-family,new-api/one-api系,,xyz,,,,,,,,361888.xyz,1,round1,confirmed,A_api_status,Y,,,api.361888.xyz
4399ai.cn,4399ai API,one-api-family,new-api/one-api系,,cn,,,,,,,,4399ai.cn,1,round13,confirmed,A_api_status,Y,,,api.4399ai.cn
4router.net,4Router,one-api-family,new-api/one-api系,,net,,,,,,,,4router.net,1,round4,confirmed,A_api_status,Y,,,4router.net
4zapi.com,4Z API,one-api-family,new-api/one-api系,,com,,,,,,,,4zapi.com,1,round4,confirmed,A_api_status,Y,,,4zapi.com
52ccl.cn,月城公益站,one-api-family,new-api/one-api系,,cn,,,,,,,,52ccl.cn,1,round11,confirmed,A_api_status,Y,,,ai.52ccl.cn
52mx.net,52模型|52mx.net,one-api-family,new-api/one-api系,,net,,,,,,,,52mx.net,1,round5,confirmed,A_api_status,Y,,,52mx.net
580ai.net,Nano banana,one-api-family,new-api/one-api系,,net,,,,,,,,580ai.net,1,round2,confirmed,A_api_status,Y,,,nano.580ai.net
5cookie.cc,5Cookie Code,one-api-family,new-api/one-api系,ONLINE,cc,2026-06-03,,AS967 VMISS Inc.,United States,无,,,5cookie.cc,1,round14,confirmed,A_api_status,Y,Y,Y,5cookie.cc;www.5cookie.cc
66ai.ai,66AI.AI,one-api-family,new-api/one-api系,,ai,,,,,,,,66ai.ai,1,round14,confirmed,A_api_status,Y,,,66ai.ai
724codes.com,724codes,unlabeled,Vue,ONLINE,com,2026-06-03,,AS3462 Data Communication Business Group,Taiwan,有,,,724codes.com,1,,,,,Y,Y,724codes.com
777114.xyz,LogosAPI,one-api-family,new-api/one-api系,,xyz,,,,,,,,777114.xyz,1,round1,confirmed,A_api_status,Y,,,api.777114.xyz
777358.xyz,三七中转,one-api-family,new-api/one-api系,,xyz,,,,,,,,777358.xyz,1,round1,confirmed,A_api_status,Y,,,newapi.777358.xyz
78code.cc,78 code,one-api-family,new-api/one-api系,,cc,,,,,,,,78code.cc,1,round11,confirmed,A_api_status,Y,,,78code.cc;www.78code.cc
7x.hk,七倍算力,one-api-family,new-api/one-api系,,hk,,,,,,,,7x.hk,1,round11,confirmed,A_api_status,Y,,,7x.hk
8864k.com,8864k API,one-api-family,new-api/one-api系,,com,,,,,,,,8864k.com,1,round9,confirmed,A_api_status,Y,,,router.8864k.com
88api.chat,88 API,one-api-family,new-api/one-api系,,chat,,,,,,,,88api.chat,1,round1,confirmed,A_api_status,Y,,,api.88api.chat
8yes.cc,New API,one-api-family,new-api/one-api系,,cc,,,,,,,,8yes.cc,1,round4,confirmed,A_api_status,Y,,,8yes.cc
91router.ai,91ROUTER,one-api-family,new-api/one-api系,,ai,,,,,,,,91router.ai,1,round14,confirmed,A_api_status,Y,,,91router.ai
9527code.com,9527CODE,one-api-family,new-api/one-api系,ONLINE,com,2026-03-18,,"AS13335 Cloudflare, Inc.",Canada,有,,,9527code.com,1,round16,confirmed,A_api_status,Y,Y,Y,9527code.com;api.9527code.com
992236.xyz,Meow Brother API Distribution Platform (New ),one-api-family,new-api/one-api系,,xyz,,,,,,,,992236.xyz,1,round7,confirmed,A_api_status,Y,,,992236.xyz
996444.cn,清风阁 API,one-api-family,new-api/one-api系,,cn,,,,,,,,996444.cn,1,round2,confirmed,A_api_status,Y,,,api.996444.cn
999554.xyz,云舟API,one-api-family,new-api/one-api系,,xyz,,,,,,,,999554.xyz,1,round4,confirmed,A_api_status,Y,,,cli.999554.xyz
a1r.cc,A1R&聚合Ai,one-api-family,new-api/one-api系,,cc,,,,,,,,a1r.cc,1,round9,confirmed,A_api_status,Y,,,api.a1r.cc
a6api.com,A6api-Token聚合站,one-api-family,new-api/one-api系,,com,,,,,,,,a6api.com,1,round16,confirmed,A_api_status,Y,,,a6api.com
aaatoken.cn,3A API,one-api-family,new-api/one-api系,ONLINE,cn,2026-05-10,,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",China,无,,,aaatoken.cn,1,round16,confirmed,A_api_status,Y,Y,Y,aaatoken.cn
aabao.vip,主站_Aabao_API,one-api-family,new-api/one-api系,,vip,,,,,,,,aabao.vip,1,round2,confirmed,A_api_status,Y,,,api.aabao.vip;fastapi.aabao.vip
abacus.ai,,one-api-family,one-api,,ai,,,,,,,,abacus.ai,1,round4,confirmed,C_framework+content,Y,,,routellm.abacus.ai
abcrelay.com,ABC Relay,one-api-family,new-api/one-api系,,com,,,,,,,,abcrelay.com,1,round1,confirmed,A_api_status,Y,,,abcrelay.com;api.abcrelay.com
ablai.top,1,one-api-family,new-api/one-api系,,top,,,,,,,,ablai.top,1,round2,confirmed,A_api_status,Y,,,api.ablai.top
affordableaiapi.com,AffordableAI API,one-api-family,new-api/one-api系,,com,,,,,,,,affordableaiapi.com,1,round1,confirmed,A_api_status,Y,,,affordableaiapi.com
africarouter.ai,,one-api-family,one-api,,ai,,,,,,,,africarouter.ai,1,round14,confirmed,C_framework+content,Y,,,africarouter.ai
agentrouter.org,Agent Router,one-api-family,new-api/one-api系,,org,,,,,,,,agentrouter.org,1,round5,confirmed,A_api_status,Y,,,agentrouter.org
ai-openclaw.one,CR.Ai,one-api-family,new-api/one-api系,,one,,,,,,,,ai-openclaw.one,1,round7,confirmed,A_api_status,Y,,,www.ai-openclaw.one
ai-wave.org,AI Wave,one-api-family,new-api/one-api系,,org,,,,,,,,ai-wave.org,1,round9,confirmed,A_api_status,Y,,,www.ai-wave.org
ai-yyds.com,AI-YYDS   GPT 5 API接口,one-api-family,new-api/one-api系,,com,,,,,,,,ai-yyds.com,1,round2,confirmed,A_api_status,Y,,,ai-yyds.com;api.ai-yyds.com
ai.cc,,one-api-family,one-api,,cc,,,,,,,,ai.cc,1,round10,confirmed,C_framework+content,Y,,,ai.cc;www.ai.cc
ai123.one,Ai123中转站,one-api-family,new-api/one-api系,,one,,,,,,,,ai123.one,1,round11,confirmed,A_api_status,Y,,,ai123.one
aiapi.world,AiApi.World,unlabeled,Nginx,ONLINE,world,,,"AS45102 Alibaba (US) Technology Co., Ltd.",Hong Kong,有,,,aiapi.world,1,,,,,Y,Y,aiapi.world
aiapidoctor.com,,one-api-family,new-api,,com,,,,,,,,aiapidoctor.com,1,round9,confirmed,C_framework+content,Y,,,aiapidoctor.com
aiapify.com,AIApify,one-api-family,new-api/one-api系,ONLINE,com,2026-04-07,,"AS45102 Alibaba (US) Technology Co., Ltd.",Hong Kong,有,,,aiapify.com,1,round16,confirmed,A_api_status,Y,Y,Y,aiapify.com
aiapipk.com,,one-api-family,one-api,,com,,,,,,,,aiapipk.com,1,round1,confirmed,C_framework+content,Y,,,www.aiapipk.com
aiapis.io,AI APIS,unlabeled,"Cloudflare, Vue",ONLINE,io,2026-05-09,,"AS13335 Cloudflare, Inc.",Canada,有,,,aiapis.io,1,,,,,Y,Y,aiapis.io
aiartmirror.com,AIArtMirror,one-api-family,new-api/one-api系,,com,,,,,,,,aiartmirror.com,1,round11,confirmed,A_api_status,Y,,,aiartmirror.com;www.aiartmirror.com
aiberm.com,Aiberm,one-api-family,new-api/one-api系,ONLINE,com,2024-11-21,,"AS16509 Amazon.com, Inc.",United States,有,,,aiberm.com,1,round16,confirmed,A_api_status,Y,Y,Y,aiberm.com
aibinghe.xyz,BingHeAPI,unlabeled,"Nginx, Vue",ONLINE,xyz,2026-05-02,,AS979 NetLab Global,Hong Kong,有,,1106800832,aibinghe.xyz,1,,,,,Y,Y,api.aibinghe.xyz
aicc0.com,Z API,one-api-family,new-api/one-api系,,com,,,,,,,,aicc0.com,1,round11,confirmed,A_api_status,Y,,,zapi.aicc0.com
aicodemirror.com,AICodeMirror,unlabeled,Cloudflare,ONLINE,com,2025-06-14,,"AS13335 Cloudflare, Inc.",Canada,无,,,aicodemirror.com,1,,,,,Y,Y,api.aicodemirror.com
aieania.tech,CodexOne,unlabeled,"Nginx, Vue",ONLINE,tech,2026-04-15,,"AS132203 Tencent Building, Kejizhongyi Avenue",United States,有,,630150026,aieania.tech,1,,,,,Y,Y,codexone.aieania.tech
aiearth.dev,AIO API,one-api-family,new-api/one-api系,,dev,,,,,,,,aiearth.dev,1,round9,confirmed,A_api_status,Y,,,api.aiearth.dev
aiflowhub.ai,One API,one-api-family,new-api/one-api系,,ai,,,,,,,,aiflowhub.ai,1,round14,confirmed,A_api_status,Y,,,aiflowhub.ai
aifoxspa.com,New API,one-api-family,new-api/one-api系,,com,,,,,,,,aifoxspa.com,1,round2,confirmed,A_api_status,Y,,,api.aifoxspa.com
aigc2d.com,AIGC2D,one-api-family,new-api/one-api系,,com,,,,,,,,aigc2d.com,1,round7,confirmed,A_api_status,Y,,,next.aigc2d.com
aigcbest.top,钱多多 API Beta,one-api-family,new-api/one-api系,,top,,,,,,,,aigcbest.top,1,round1,confirmed,A_api_status,Y,,,35.aigcbest.top;aigcbest.top;api.aigcbest.top;api2.aigcbest.top
aigm99.cn,Green Mountain,one-api-family,new-api/one-api系,ONLINE,cn,2026-04-29,,"AS13335 Cloudflare, Inc.",Canada,无,,,aigm99.cn,1,round16,confirmed,A_api_status,Y,Y,Y,zz.aigm99.cn
aigo123.net,AiGo123.net,one-api-family,new-api/one-api系,,net,,,,,,,,aigo123.net,1,round10,confirmed,A_api_status,Y,,,aigo123.net
aigocode.com,AlGoCode,unlabeled,,ONLINE,com,2025-08-29,,"AS13335 Cloudflare, Inc.",Canada,有,t.me/+DjOEPVxszZw2NjRh,,aigocode.com,1,,,,,Y,Y,api.aigocode.com
aijws.com,我的贾维斯,unlabeled,Cloudflare,CLOUDFLARE_OR_BLOCKED,com,2026-05-16,,"AS13335 Cloudflare, Inc.",Canada,有,,796808428,aijws.com,1,,,,,Y,Y,api.aijws.com
aikeji.vip,AI科技全模型API,one-api-family,new-api/one-api系,,vip,,,,,,,,aikeji.vip,1,round2,confirmed,A_api_status,Y,,,api.aikeji.vip
aimlapi.com,,one-api-family,one-api,,com,,,,,,,,aimlapi.com,1,round2,confirmed,C_framework+content,Y,,,aimlapi.com;www.aimlapi.com
aiok.club,New API,one-api-family,new-api/one-api系,,club,,,,,,,,aiok.club,1,round4,confirmed,A_api_status,Y,,,aiok.club
aiporters.com,One API,one-api-family,new-api/one-api系,,com,,,,,,,,aiporters.com,1,round2,confirmed,A_api_status,Y,,,one-api.aiporters.com
aircode.xin,AirCode,unlabeled,"Nginx, Vue",ONLINE,xin,2026-04-29,,AS214996 netcup GmbH,United States,有,,,aircode.xin,1,,,,,Y,Y,api.aircode.xin
aiskt.com,AiSKT API,one-api-family,new-api/one-api系,,com,,,,,,,,aiskt.com,1,round9,confirmed,A_api_status,Y,,,one.aiskt.com;pro.aiskt.com
aisz.mom,词元枢阁 Token Nexus,one-api-family,new-api,ONLINE,mom,2026-05-18,,"AS13335 Cloudflare, Inc.",Canada,无,,,aisz.mom,1,round16,confirmed,A_api_status,Y,Y,Y,api.aisz.mom
