domain,stack_family,site_role,hosting_type,maturity_tier,health,birth_year,dedicated_cert,operator_id,operator_domains,multi_brand_operator,template_family,payment_methods,has_faka,trust_claims
4zapi.com,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,4zapi.com,1,,,,,no_dilution|stability
51api.org,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,51api.org,1,,,,,no_dilution|stability
52ccl.cn,one-api-family,relay,direct_origin,established,https_alive,2020,Y,52ccl.cn,1,,52ccl.cn,,,
52mx.net,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,52mx.net,1,,,,,
580ai.net,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,147ai.cn,3,Y,147ai.cn,,,
5cookie.cc,one-api-family,relay,direct_origin,new_2026,ONLINE,2026,Y,5cookie.cc,1,,,,,
5w5.wtf,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,5w5.wtf,1,,,,,
66ai.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,66ai.ai,1,,,,,
712api.cc,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,712api.cc,1,,,,,no_dilution|stability|refund
724codes.com,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,724codes.com,1,,,,,stability
73card.com,openai-compatible-unknown,unidentified,direct_origin,established,https_alive,2014,Y,73card.com,1,,,,,
777114.xyz,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,777114.xyz,1,,,,,
777358.xyz,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,777358.xyz,1,,,,,
78code.cc,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,78code.cc,1,,,,,
7x.hk,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,7x.hk,1,,,,,
8511.top,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,8511.top,1,,,,,
8864k.com,one-api-family,relay,direct_origin,established,https_alive,2014,Y,8864k.com,1,,,alipay|usdt_crypto,Y,privacy_first|stability|refund
88api.chat,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,88api.chat,1,,,,,stability
8yes.cc,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,8yes.cc,1,,,,,
91router.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,91router.ai,1,,,,,
9527code.com,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,9527code.com,1,,,,,stability
992236.xyz,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,992236.xyz,1,,,,,
996444.cn,one-api-family,relay,direct_origin,established,https_alive,2024,Y,996444.cn,1,,,,,
999554.xyz,one-api-family,relay,cdn_fronted,established,https_alive,2020,Y,999554.xyz,1,,,,,
a1r.cc,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,a1r.cc,1,,,,,
a6api.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,a6api.com,1,,,,,stability
a8.hk,one-api-family,relay,cdn_fronted,established,https_alive,2015,Y,a8.hk,3,,,,,
aaatoken.cn,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,aaatoken.cn,1,,,,,
aabao.vip,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aabao.vip,1,,,,,
abacus.ai,one-api-family,relay,cdn_fronted,established,https_alive,2017,Y,abacus.ai,1,,,,,
abaiapi.xyz,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,abaiapi.xyz,1,,,,,
abcrelay.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,abcrelay.com,1,,,,,
ablai.top,one-api-family,relay,direct_origin,established,https_alive,2024,Y,ablai.top,6,Y,ablai.top,,,stability
affordableaiapi.com,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,affordableaiapi.com,1,,,,,
africarouter.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,africarouter.ai,1,,africarouter.ai,,,stability
agentrouter.org,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,agentrouter.org,1,,,,,
aggbox.shop,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aggbox.shop,1,,,,,
ahmes.dev,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,ahmes.dev,1,,,stripe,Y,no_dilution
ai-gaochao.cn,one-api-family,relay,direct_origin,established,https_alive,2023,Y,ai-gaochao.cn,4,Y,ai-gaochao.cn,,,
ai-leapx.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ai-leapx.com,1,,,stripe,,
ai-openclaw.one,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,ai-openclaw.one,1,,,,,
ai-szzx.online,unlabeled,unidentified,cdn_fronted,established,ONLINE,2023,,ai-szzx.online,2,,,wechat_pay,,
ai-wave.org,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,ai-wave.org,2,Y,,,,
ai-yyds.com,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,ai-yyds.com,1,,,,,
ai.cc,one-api-family,relay,direct_origin,established,unknown,1997,,ai.cc,1,,,,,no_log
ai01.yun,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ai01.yun,1,,,,,
ai123.one,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ai123.one,1,,,,,stability
ai163.cc,sub2api,conversion_layer,cdn_fronted,new_2026,https_alive,2026,Y,ai163.cc,1,,,,,
ai88.help,openai-compatible-unknown,unidentified,direct_origin,new_2026,https_alive,2026,Y,ai88.help,1,,,alipay,,no_dilution|stability
aiapi.world,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,aiapi.world,1,,,,,stability
aiapidoctor.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aiapidoctor.com,1,,,,,
aiapify.com,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,aiapify.com,1,,,,,
aiapipk.com,one-api-family,relay,direct_origin,established,https_alive,2024,Y,aiapipk.com,1,,,,,
aiapis.io,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,aiapis.io,1,,,,,
aiartmirror.com,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,aiartmirror.com,1,,,,,
aibaz.ai,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,aibaz.ai,1,,,,,no_log|stability
aiberm.com,one-api-family,relay,cdn_fronted,established,ONLINE,2024,Y,aiberm.com,1,,,,,stability
aibinghe.xyz,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,aibinghe.xyz,1,,,,,
aicc0.com,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,aicc0.com,1,,,,,
aicloud.plus,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,aicloud.plus,1,,,,,stability
aicodedog.com,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,aicodedog.com,1,,,stripe|epay,,stability
aicodemirror.com,unlabeled,unidentified,cdn_fronted,growing_2025,ONLINE,2025,Y,aicodemirror.com,1,,,alipay,,stability
aieania.tech,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,aieania.tech,1,,,,,stability
aiearth.dev,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aiearth.dev,1,,,,,
aiflowhub.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aiflowhub.ai,1,,,usdt_crypto,,
aifoxspa.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aifoxspa.com,1,,,,,
aifuel.cc,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aifuel.cc,1,,,,,
aigc2d.com,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aigc2d.com,1,,,,,stability
aigc456.top,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aigc456.top,3,Y,,,,
aigcbest.top,one-api-family,relay,direct_origin,established,https_alive,2023,Y,aigc456.top,3,Y,aigcbest.top,,,
aigcly.top,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,unknown,2026,,aigcly.top,1,,,,,no_dilution|stability
aigcwuji.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aigcwuji.com,1,,,,,
aigm99.cn,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,aigm99.cn,1,,,,,
aigo123.net,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aigo123.net,1,,,alipay|wechat_pay,,
aigocode.com,unlabeled,unidentified,cdn_fronted,growing_2025,ONLINE,2025,Y,aigocode.com,1,,,,,stability|refund
aigptx.top,openai-compatible-unknown,unidentified,direct_origin,established,https_alive,2023,Y,aigptx.top,2,,,,,
aihubmix.com,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aihubmix.com,1,,,,,
aiito.top,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aiito.top,1,,,,,
aijws.com,unlabeled,unidentified,cdn_fronted,new_2026,CLOUDFLARE_OR_BLOCKED,2026,Y,aijws.com,1,,,,,
aikeji.vip,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,aikeji.vip,1,,,,,
ailvaz.com,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,ailvaz.com,1,,,alipay|wechat_pay|stripe|epay,Y,no_dilution|stability|refund
aimlapi.com,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aimlapi.com,1,,,usdt_crypto,,stability
ainstant.pro,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ainstant.pro,3,,,,,
aiok.club,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aiok.club,1,,,,,
aiporters.com,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,aiporters.com,1,,,,,
aircode.xin,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,aircode.xin,1,,,,,stability|refund
airoute.vip,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,airoute.vip,1,,,,,
airouter.work,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,airouter.work,1,,,alipay|wechat_pay|stripe|paypal|usdt_crypto|epay,,no_dilution
aishuch.com,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,aishuch.com,4,,,alipay|paypal|usdt_crypto,,no_dilution|stability
aiskt.com,one-api-family,relay,direct_origin,established,https_alive,2023,Y,aiskt.com,1,,,,,
aisz.mom,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,aisz.mom,1,,,,,
aitokenapi.cc,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aitokenapi.cc,1,,,,,
aitransx.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aitransx.com,1,,,,,no_dilution|stability|refund
aiuxu.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aishuch.com,4,,,alipay|paypal|usdt_crypto,,no_dilution|stability
aixor.org,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aixor.org,1,,,,,
aiyahmm.com,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,aiyahmm.com,1,,aiyahmm.com,,,
aizex.top,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,aizex.top,1,,,,,
aladingapi.cc,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,aladingapi.cc,1,,,,,
albagubra.art,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,albagubra.art,1,,,,,
allinai7.cloud,unlabeled,unidentified,unknown,new_2026,DNS_FAIL,2026,,allinai7.cloud,1,,,,,
allmodel.co,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,allmodel.co,1,,,,,no_log|stability
alltkn.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,alltkn.com,1,,,,,no_log|stability|refund
amaranta.asia,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,amaranta.asia,1,,,,,
amutes.com,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,amutes.com,1,,,,,
amux.ai,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,amux.ai,1,,,,,
ananapi.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ananapi.com,1,,,,,
anpin.ai,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,anpin.ai,1,,,usdt_crypto,,no_log|privacy_first|refund
ant-ling.com,openai-compatible-unknown,unidentified,cdn_fronted,growing_2025,https_alive,2025,Y,ant-ling.com,1,,,,,
antirez.com,one-api-family,relay,direct_origin,established,https_alive,2006,Y,antirez.com,1,,,stripe,,no_log
antsk.cn,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,antsk.cn,1,,,,,
anxidc.com,unlabeled,unidentified,unknown,established,DNS_FAIL,2023,,anxidc.com,1,,,,,
anyaigc.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,anyaigc.com,1,,,,,stability
anyfast.ai,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,anyfast.ai,1,,,,,
anyone.ai,one-api-family,relay,cdn_fronted,established,https_alive,2017,Y,anyone.ai,1,,,,,
anyport.xyz,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,anyport.xyz,1,,,,,stability|refund
anyroute.io,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,anyroute.io,3,Y,anyroute.io,,,
aokapi.com,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,aokapi.com,1,,,,,
apertis.ai,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,apertis.ai,1,,,,,
apexapi.vip,one-api-family,relay,direct_origin,new_2026,unknown,2026,,apexapi.vip,1,,,alipay|usdt_crypto|epay,,
api000.com,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,api000.com,1,,,,,
api260.com,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,api260.com,2,Y,api260.com,,,
api2cn.com,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,api2cn.com,1,,,,,stability
api520.pro,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,api520.pro,1,,ai-gaochao.cn,,,
api96.com,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,api96.com,1,,,,,
apib.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,aishuch.com,4,,,alipay|paypal|usdt_crypto,,no_dilution|stability
apibrg.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apibrg.com,1,,,,,
apiclaude.cc,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,apiclaude.cc,1,,,,,
apiddt.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apiddt.com,1,,,,,
apidock.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apidock.ai,1,,,,,
apigator.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apigator.ai,1,,,stripe,,
apihost.cn,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,apihost.cn,1,,,,,
apiliangrekui.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apiliangrekui.com,1,,,,,
apilink.cc,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apilink.cc,1,,,,,no_log|stability
apimarket.top,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,apimarket.top,1,,,,,stability
apimart.ai,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,aishuch.com,4,,,,,
apinebula.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apinebula.com,1,,,,,
apinova.cc,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,apinova.cc,1,,,,,
apipod.ai,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,apipod.ai,1,,,stripe,,no_log|no_dilution|stability|refund
apiporter.com,one-api-family,relay,direct_origin,new_2026,ONLINE,2026,Y,apiporter.com,1,,,,,
apirouter.ai,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,apirouter.ai,1,,,,,
apispk.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,apispk.com,1,,,,,
apiwarrior.xyz,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,apiwarrior.xyz,1,,,,,
apixo.ai,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,apixo.ai,1,,,stripe,,no_log
apiyi.com,one-api-family,relay,direct_origin,established,https_alive,2024,Y,apiyi.com,1,,,,,stability
ark717.com,one-api-family,relay,cdn_fronted,established,https_alive,2019,Y,ark717.com,1,,,,,
arkvision.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,arkvision.ai,1,,,,,
arpanet.icu,one-api-family,relay,direct_origin,growing_2025,ONLINE,2025,Y,arpanet.icu,1,,,,,
atlascloud.ai,one-api-family,relay,cdn_fronted,established,https_alive,2024,Y,atlascloud.ai,1,,,,,no_dilution|stability
atomflow.vip,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,atomflow.vip,1,,,,,
autocontentapi.com,one-api-family,relay,direct_origin,established,https_alive,2024,Y,autocontentapi.com,1,,,,,no_log
autorouter.io,one-api-family,relay,cdn_fronted,new_2026,CLOUDFLARE_OR_BLOCKED,2026,Y,autorouter.io,1,,,,,
avoapi.com,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,avoapi.com,1,,,,,
axis.fan,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,axis.fan,1,,aiyahmm.com,,,no_dilution|stability
axis.yoga,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,axis.yoga,1,,,,,no_dilution|stability
axisapi.cn,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,axisapi.cn,1,,,,,
azapi.com.cn,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,azapi.com.cn,1,,,,,
b.ai,unlabeled,unidentified,cdn_fronted,established,ONLINE_LOGIN_REQUIRED,2017,Y,b.ai,1,,,,,
b886.top,unlabeled,unidentified,unknown,established,DNS_FAIL,2024,,b886.top,2,,,,,
baobu.xyz,unlabeled,unidentified,cdn_fronted,growing_2025,ONLINE,2025,Y,baobu.xyz,1,,,,,privacy_first|stability
baogutang.top,unlabeled,unidentified,direct_origin,established,ONLINE,2023,Y,baogutang.top,1,,,,,stability
base-url.cn,one-api-family,relay,direct_origin,growing_2025,unknown,2025,,base-url.cn,1,,,,,
bazaarlink.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,bazaarlink.ai,1,,,alipay|wechat_pay|stripe|usdt_crypto|epay,,no_log|stability|refund
baziapi.site,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,baziapi.site,1,,,,,
bbww.top,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,bbww.top,2,,,,,
bcapi.top,sub2api,conversion_layer,cdn_fronted,new_2026,https_alive,2026,Y,bcapi.top,1,,,stripe,,stability
bdshmmkj3.cn,one-api-family,relay,direct_origin,growing_2025,unknown,2025,,bdshmmkj3.cn,5,,bdshmmkj3.cn,,,
bearlab.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,bearlab.ai,2,,,,,
beecode.cc,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,beecode.cc,1,,,,,
beefapi.com,one-api-family,relay,cdn_fronted,new_2026,ONLINE,2026,Y,beefapi.com,1,,,,,stability
beehears.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,beehears.com,1,,,,,stability
bestroute.center,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,bestroute.center,1,,,,,stability
bestswifter.com,one-api-family,relay,direct_origin,established,https_alive,2015,Y,bestswifter.com,1,,,,,
bgremoval.xyz,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,bgremoval.xyz,1,,,alipay,,no_dilution|stability
bianxie.ai,one-api-family,relay,direct_origin,established,https_alive,2024,Y,a8.hk,3,,,,,
bianxieai.com,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,a8.hk,3,,,,,
biyuan.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,biyuan.ai,1,,,,,stability
bjxrouter.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,bjxrouter.com,2,,,,,
bltcy.ai,one-api-family,relay,direct_origin,established,https_alive,2024,Y,ablai.top,6,Y,ablai.top,,,
bltcy.top,one-api-family,relay,cdn_fronted,established,https_alive,2023,Y,ablai.top,6,Y,,,,
blueshirtmap.com,one-api-family,relay,direct_origin,established,https_alive,2023,Y,blueshirtmap.com,1,,,,,
bluesminds.com,one-api-family,relay,direct_origin,growing_2025,https_alive,2025,Y,bluesminds.com,1,,,,,
bm-tokenai.com,openai-compatible-unknown,unidentified,cdn_fronted,new_2026,https_alive,2026,Y,bm-tokenai.com,1,,,alipay|wechat_pay|stripe|epay,Y,no_dilution|stability|refund
bobdong.cn,one-api-family,relay,direct_origin,established,ONLINE,2015,Y,bobdong.cn,1,,52ccl.cn,,,
bookapi.cc,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,bookapi.cc,1,,,,,
bossclaw.org,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,bossclaw.org,1,,,alipay,,no_dilution|stability
botcf.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,botcf.com,1,,,,,
boxying.com,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,boxying.com,1,,,,,
boya.one,unlabeled,unidentified,direct_origin,new_2026,HTTP_ERROR,2026,,boya.one,1,,,,,
burncloud.com,one-api-family,relay,cdn_fronted,established,https_alive,2013,Y,burncloud.com,1,,,,,
buykey.ai,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,buykey.ai,1,,,,,
buzz7.top,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,buzz7.top,4,Y,,,,
buzzai.cc,one-api-family,relay,direct_origin,new_2026,ONLINE,2026,Y,buzz7.top,4,Y,buzzai.cc,,,
buzzai.top,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,buzz7.top,4,Y,,,,
bybing.cc,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,bjxrouter.com,2,,,,,
bytecatcode.org,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,bytecatcode.org,1,,,,,
c9api.cn,one-api-family,relay,cdn_fronted,new_2026,unknown,2026,,c9api.cn,1,,,,,
callflow.top,one-api-family,relay,cdn_fronted,growing_2025,https_alive,2025,Y,callflow.top,1,,,,,
callgpt.co.uk,one-api-family,relay,direct_origin,established,https_alive,2024,Y,callgpt.co.uk,1,,callgpt.co.uk,,,no_log|stability
callxyq.xyz,one-api-family,relay,direct_origin,growing_2025,ONLINE,2025,Y,callxyq.xyz,1,,,,,
catapi.ai,one-api-family,relay,direct_origin,new_2026,https_alive,2026,Y,catapi.ai,1,,,,,
cc-api.chat,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,cc-api.chat,1,,,,,
cc-vibe.com,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,cc-vibe.com,1,,,alipay|stripe|paypal|usdt_crypto,,no_log|privacy_first|stability|refund
cc2.cx,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,cc2.cx,1,,,,,
ccfly.codes,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,ccfly.codes,2,Y,ccfly.codes,,,no_dilution|stability
ccg-cli.online,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ccg-cli.online,1,,,,,
ccgoai.com,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,Y,ccgoai.com,1,,,alipay|wechat_pay,,no_dilution|stability|refund
cckeys.top,unlabeled,unidentified,cdn_fronted,new_2026,ONLINE,2026,,cckeys.top,1,,,,,
ccll.xyz,one-api-family,relay,cdn_fronted,new_2026,https_alive,2026,Y,ccll.xyz,1,,,,,
ccmax20.cc,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,ccmax20.cc,2,Y,,,,
ccode.dev,unlabeled,unidentified,direct_origin,new_2026,ONLINE,2026,Y,ccode.dev,1,,aiyahmm.com,,,
