operator_id,domain_count,platform_names,stack_families,hosting,countries,birth_range,tie_cert,tie_favicon,tie_ip,tie_sitename,tie_contact,member_domains,merge_basis
bjxrouter.com,2,北极星,one-api-family:2,Cloudflare:2,Canada:2,2026…2026,,,,Y,,bjxrouter.com;bybing.cc,sitename=['北极星']
ccfly.codes,2,CCFly;ccfly,unlabeled:2,DMIT Cloud Services:2,United States:2,2026…2026,,,Y,Y,,ccfly.codes;ccplus.site,ip=['69.63.217.215']; sitename=['ccfly']
ccmax20.cc,2,Baby;baby,unlabeled:1;one-api-family:1,Spartan Host Ltd:1,United States:1,2026…2026,,,,Y,,ccmax20.cc;max20.cn,sitename=['baby']
ccode.dev,2,Ccode;MonkingAI,unlabeled:1;one-api-family:1,Peekabo Networks:2,United States:2,2026…2026,,,Y,,,ccode.dev;monking.ai,ip=['23.147.52.12']
cherryin.ai,2,CherryIN,one-api-family:2,Cloudflare:1;Tencent Building:1,Canada:1;Hong Kong:1,2025…2025,,,,Y,,cherryin.ai;cherryin.net,sitename=['cherryin']
claude-api.org,2,Claude-API,sub2api:2,Cloudflare:2,Canada:2,2026…2026,,Y,,,,claude-api.org;voltapi.ai,favicon=['b085b6302e0c']
clauqe.ai,2,Dragoncode,unlabeled:2,Antbox Networks Limited:2,United States:2,2026…2026,,,Y,,,clauqe.ai;dragoncode.codes,ip=['192.238.249.142']
cun.ai,2,CUN.AI,one-api-family:2,Cloudflare:2,Canada:2,2023…2026,,,,Y,,cun.ai;wintoken.dev,sitename=['cun.ai']
dataeyes.ai,2,dataeyes API;企业专用Api,one-api-family:2,Cloudflare:1,Canada:1,2025…2025,,Y,,,,dataeyes.ai;newcli.com,favicon=['b9a31d3949b1']
fastgpt.cn,2,,one-api-family:2,Hangzhou Alibaba Adverti:1;Google LLC:1,China:1;Singapore:1,2023…2025,,Y,,,,fastgpt.cn;fastgpt.io,favicon=['2340bd772b87']
fushengyunsuan.cn,2,浮生云算,one-api-family:2,Cloudflare:1,Canada:1,2026…2026,,,,Y,,fushengyunsuan.cn;fushengyunsuan.com,sitename=['浮生云算']
gpt.ge,2,V-API,one-api-family:2,IT7 Networks Inc:2,United States:2,2023…2024,,,,Y,,gpt.ge;vveai.com,sitename=['v-api']
hcnsec.cn,2,新疆幻城网安科技公益大模型api,one-api-family:2,ACE:1;CT HuNan Changsha IDC:1,Singapore:1;China:1,2020…2026,,,,Y,,hcnsec.cn;iamhc.cn,sitename=['新疆幻城网安科技公益大模型api']
huaci.ai,2,华元 API;华算 API,one-api-family:2,IT7 Networks Inc:2,United States:2,2026…2026,,,Y,,,huaci.ai;huasuan.ai,ip=['45.78.78.39']
huiyun.asia,2,汇云AI;聚星AI,one-api-family:2,SonderCloud Limited:1;Alibaba (US) Technology :1,Hong Kong:2,2026…2026,,Y,,,,huiyun.asia;juxingai.top,favicon=['2c5d4ccd6d1b']
jeniya.cn,2,简易-API中转站-专业的AI大模型API接口中转站平台API供应商,one-api-family:2,OVH SAS:1,United States:1,2025…2025,,,,Y,,jeniya.cn;jeniya.top,sitename=['简易-api中转站-专业的ai大模型api接口中转站平台api供应商']
ominigate.ai,2,,one-api-family:2,Cloudflare:2,Canada:2,2026…2026,,Y,,,,ominigate.ai;ominigate.com,favicon=['2d5804a1edf6']
paintbot.top,2,Pro API,one-api-family:2,Shenzhen Tencent Compute:1;Cloudflare:1,China:1;Canada:1,2023…2026,,,,Y,,paintbot.top;prorisehub.com,sitename=['pro api']
sudocode.chat,2,SudoCode,unlabeled:1;one-api-family:1,IT7 Networks Inc:1,United States:1,2026…2026,,,,Y,,sudocode.chat;sudocode.us,sitename=['sudocode']
teamolab.com,2,,one-api-family:2,ACE:2,Singapore:2,2026…2026,,Y,Y,,,teamolab.com;teamorouter.com,favicon=['b0fbe282e69b']; ip=['43.159.107.179']
wlai.vip,2,云雾 API,one-api-family:2,ReliableSite.Net LLC:1;OVH SAS:1,United States:2,2023…2024,,,,Y,,wlai.vip;yunwu.ai,sitename=['云雾 api']
yansd666.com,2,烟神殿AI,one-api-family:2,OVH SAS:2,United States:2,2024…2025,,,,Y,,yansd666.com;yansd666.top,sitename=['烟神殿ai']
zlapi.pro,2,zzzzzll API 💕,one-api-family:2,NetLab Global:2,United States:2,2026…2026,,,,Y,,zlapi.pro;zlapi.vip,sitename=['zzzzzll api 💕']
