domain,has_privacy,privacy_url,collect_data,applicable_law,third_party_sharing,has_contact,content_hash,content_changed,last_checked,last_changed
aiberm.com,有,https://aiberm.com/privacy,未明确说明,未明确说明,未提及,有,e4e6527659c45df5,否,2026-06-17T11:35:08Z,
findcg.com,无,,,,,,,,2026-06-17T11:35:08Z,
dataeyes.ai,有,https://www.dataeyes.ai/privacy,未明确说明,未明确说明,未提及,无,181ba27f15f329c5,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
easyrouter.io,有,https://easyrouter.io/privacy,未明确说明,未明确说明,未提及,无,387b319674117dd9,否,2026-06-17T11:35:08Z,
tokaify.com,无,,,,,,,,2026-06-17T11:35:08Z,
linkapi.ai,无,,,,,,,,2026-06-17T11:35:08Z,
api.xaix.me,无,,,,,,,,2026-06-17T11:35:08Z,
ogog.ai,无,,,,,,,,2026-06-17T11:35:08Z,
ai.centos.hk,无,,,,,,,,2026-06-17T11:35:08Z,
api.qiyiguo.uk,无,,,,,,,,2026-06-17T11:35:08Z,
ai.xlyun.pro,无,,,,,,,,2026-06-17T11:35:08Z,
claudeagent.com.cn,有,https://claudeagent.com.cn/privacy,未明确说明,未明确说明,未提及,无,8033b209d6adfe14,否,2026-06-17T11:35:08Z,
api.discordtool.vip,无,,,,,,,,2026-06-17T11:35:08Z,
superapi.buzz,有,https://superapi.buzz/privacy,未明确说明,未明确说明,未提及,无,19e8622d713c3383,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
api.ekan8.com,无,,,,,,,,2026-06-17T11:35:08Z,
xcode.best,有,https://xcode.best/privacy,未明确说明,未明确说明,未提及,无,f6deebc0ed64d6e9,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
api.squarefaceicon.org,无,,,,,,,,2026-06-17T11:35:08Z,
ai.17nas.com,无,,,,,,,,2026-06-17T11:35:08Z,
gua.guagua.uk,无,,,,,,,,2026-06-17T11:35:08Z,
xiaoruiapi.cc,有,https://xiaoruiapi.cc/privacy,未明确说明,未明确说明,未提及,无,8df7fa2394158233,否,2026-06-17T11:35:08Z,
sparkcode.top,无,,,,,,,,2026-06-17T11:35:08Z,
uocode.com,有,https://uocode.com/privacy,未明确说明,未明确说明,未提及,无,c2ae51375619d2a0,否,2026-06-17T11:35:08Z,2026-06-14T19:47:47Z
api.rootflowai.com,无,,,,,,,,2026-06-17T11:35:08Z,
ai.flashapi.top,无,,,,,,,,2026-06-17T11:35:08Z,
aaatoken.cn,无,,,,,,,,2026-06-17T11:35:08Z,
bobdong.cn,无,,,,,,,,2026-06-17T11:35:08Z,
code.b886.top,无,,,,,,,,2026-06-17T11:35:08Z,
cooper-api.com,无,,,,,,,,2026-06-17T11:35:08Z,
timesniper.club,无,,,,,,,,2026-06-17T11:35:08Z,
api.shiyutv.cn,有,https://api.shiyutv.cn/privacy,未明确说明,未明确说明,提及,有,9ff42433ed23c6b6,否,2026-06-17T11:35:08Z,
huanapi.com,有,https://www.huanapi.com/privacy,未明确说明,未明确说明,未提及,无,50025210f95048cd,否,2026-06-17T11:35:08Z,
cca.maya.today,有,https://cca.maya.today/privacy,未明确说明,未明确说明,未提及,有,71f84bf3eeb394d3,否,2026-06-17T11:35:08Z,
new.050602.xyz,有,https://new.050602.xyz/privacy,未明确说明,未明确说明,未提及,无,84f1bfd5dc18e702,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
ai.xem8k5.top,无,,,,,,,,2026-06-17T11:35:08Z,
free.learn-ai.top,无,,,,,,,,2026-06-17T11:35:08Z,
nextoken.online,有,https://www.nextoken.online/privacy,声称不收集,美国法律,提及,有,a13f0b5b993167e2,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
mzlone.top,无,,,,,,,,2026-06-17T11:35:08Z,
user.tocodex.com,有,https://user.tocodex.com/privacy,未明确说明,未明确说明,未提及,无,5139950f87ab5a60,否,2026-06-17T11:35:08Z,
buzzai.cc,有,https://buzzai.cc/privacy,未明确说明,未明确说明,未提及,有,101d120bf2937a2e,否,2026-06-17T11:35:08Z,
api.luccc.uk,无,,,,,,,,2026-06-17T11:35:08Z,
fucheers.top,无,,,,,,,,2026-06-17T11:35:08Z,
api.aisz.mom,无,,,,,,,,2026-06-17T11:35:08Z,
chat.ekti.cc,无,,,,,,,,2026-06-17T11:35:08Z,
api.sbbbbbbbbb.xyz,有,https://api.sbbbbbbbbb.xyz/privacy,未明确说明,未明确说明,未提及,无,25a04cc0e6c65509,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
api.sunskii.com,有,https://api.sunskii.com/privacy,未明确说明,未明确说明,未提及,有,e48a762ae98ef210,否,2026-06-17T11:35:08Z,
manbouapi.com,无,,,,,,,,2026-06-17T11:35:08Z,
derouter.ai,有,https://derouter.ai/privacy,会收集数据,未明确说明,提及,有,fa95ef55cd052731,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
code.newcli.com,无,,,,,,,,2026-06-17T11:35:08Z,
1xm.ai,有,https://1xm.ai/privacy,未明确说明,未明确说明,未提及,无,ea9095514a44c41f,否,2026-06-17T11:35:08Z,
aiapi.world,有,https://aiapi.world/privacy,未明确说明,未明确说明,未提及,有,7e0d3f7499c8c907,否,2026-06-17T11:35:08Z,
api.aicodemirror.com,无,,,,,,,,2026-06-17T11:35:08Z,
beecode.cc,有,https://beecode.cc/privacy,未明确说明,未明确说明,未提及,有,cc38b0efabed5cb4,否,2026-06-17T11:35:08Z,
cc-vibe.com,有,https://cc-vibe.com/privacy,未明确说明,中国法律,提及,有,172afad3bc804cb7,否,2026-06-17T11:35:08Z,
dragoncode.codes,有,https://dragoncode.codes/privacy,未明确说明,未明确说明,未提及,有,b9d15555b81476be,否,2026-06-17T11:35:08Z,
lucen.cc,有,https://lucen.cc/privacy,未明确说明,未明确说明,未提及,无,11efecc438f77eed,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
subrouter.ai,有,https://subrouter.ai/privacy,未明确说明,未明确说明,未提及,无,cc32e1958d361ad4,否,2026-06-17T11:35:08Z,
tcdmx.com,有,https://tcdmx.com/privacy,未明确说明,未明确说明,未提及,有,a893ee6934bd1110,否,2026-06-17T11:35:08Z,
timicc.com,有,https://timicc.com/privacy,未明确说明,未明确说明,未提及,有,58aba6872e7baa11,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
timyai.com,无,,未明确说明,未明确说明,未提及,无,526745341d9e989b,否,2026-06-17T11:35:08Z,
co.yes.vg,有,https://co.yes.vg/privacy,未明确说明,未明确说明,未提及,无,ec7054aae644d5fa,否,2026-06-17T11:35:08Z,
api.tu-zi.com,有,https://api.tu-zi.com/privacy,未明确说明,未明确说明,未提及,无,eb15917e496fa035,否,2026-06-17T11:35:08Z,
api.lingshuai.cc,有,https://api.lingshuai.cc/privacy,未明确说明,未明确说明,未提及,有,0d0dcd4cbcf32292,否,2026-06-17T11:35:08Z,
api.aigocode.com,有,https://www.aigocode.com/,未明确说明,未明确说明,提及,有,9c7ccf76601bf2da,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
api.b.ai,无,,,,,,,,2026-06-17T11:35:08Z,
api.aibinghe.xyz,有,https://api.aibinghe.xyz/privacy,未明确说明,未明确说明,未提及,有,9a5d8846cc78b8f8,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
thestocklist.site,无,,,,,,,,2026-06-17T11:35:08Z,
freemodel.dev,有,https://freemodel.dev/privacy,未明确说明,未明确说明,未提及,无,fbdde5285c1e09f1,否,2026-06-17T11:35:08Z,
gpt.hslife.fun,有,https://gpt.hslife.fun/privacy,未明确说明,未明确说明,未提及,有,bbdc19aadafa7c78,否,2026-06-17T11:35:08Z,
prismapi.site,无,,,,,,,,2026-06-17T11:35:08Z,
sssaicode.com,有,https://sssaicode.com/privacy,未明确说明,未明确说明,未提及,无,62598b680a2f0cde,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
api.clawopen.top,无,,,,,,,,2026-06-17T11:35:08Z,
terminal.pub,无,,,,,,,,2026-06-17T11:35:08Z,
tokeness.cn,有,https://tokeness.cn/privacy,未明确说明,未明确说明,未提及,无,8ff54b1735db4ad0,否,2026-06-17T11:35:08Z,
zerocode.sbs,有,https://zerocode.sbs/privacy,未明确说明,未明确说明,未提及,无,7dd8896c072eb203,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
zivv.pro,有,https://zivv.pro/privacy,未明确说明,未明确说明,未提及,无,fc03b967b9bcb179,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
xb1520.com,有,https://xb1520.com/privacy,会收集数据,未明确说明,提及,有,8fec375172141824,否,2026-06-17T11:35:08Z,
tokenflux.dev,有,https://tokenflux.dev/privacy,未明确说明,未明确说明,提及,有,4c25dda01067e9cf,否,2026-06-17T11:35:08Z,
tongapi.com,无,,,,,,,,2026-06-17T11:35:08Z,
api.aircode.xin,有,https://api.aircode.xin/privacy,未明确说明,未明确说明,提及,有,187328821d9d1699,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
allinai7.cloud,无,,,,,,,,2026-06-17T11:35:08Z,
hk.ccplus.site,有,https://hk.ccplus.site/privacy,未明确说明,美国法律,提及,有,00d1a2b6eb1d1623,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
cialloapi.cn,无,,,,,,,,2026-06-17T11:35:08Z,
mx.free.codesonline.dev,无,,未明确说明,未明确说明,未提及,有,9ea6ee8bea58d6a9,是,2026-06-17T11:35:08Z,2026-06-16T11:53:45Z
api.hack3rx.cn,有,https://api.hack3rx.cn/privacy,未明确说明,未明确说明,未提及,有,471a04e6b39246c1,否,2026-06-17T11:35:08Z,
kelaiapi.cc,无,,,,,,,,2026-06-17T11:35:08Z,
llmgw.cn,无,,,,,,,,2026-06-17T11:35:08Z,
tokenonly.ai,有,https://tokenonly.ai/privacy,未明确说明,未明确说明,未提及,无,99cdae9ca391306d,否,2026-06-17T11:35:08Z,
code.silkapi.com,有,https://code.silkapi.com/privacy,未明确说明,未明确说明,提及,有,0296971f52704488,否,2026-06-17T11:35:08Z,
boya.one,无,,,,,,,,2026-06-17T11:35:08Z,
bmai.kun8.vip,有,https://bmai.kun8.vip/privacy,未明确说明,未明确说明,未提及,有,f4d868e58e11aeb1,否,2026-06-17T11:35:08Z,
loptu.net,无,,,,,,,,2026-06-17T11:35:08Z,
api.leleweb.cn,有,https://api.leleweb.cn/privacy,未明确说明,未明确说明,未提及,有,b99e42ffdb0bd549,否,2026-06-17T11:35:08Z,2026-06-14T19:47:47Z
api.uniprep.world,无,,,,,,,,2026-06-17T11:35:08Z,
api.baobu.xyz,有,https://api.baobu.xyz/privacy,未明确说明,未明确说明,提及,有,2f0dd8b97ca0088a,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
bossclaw.org,有,https://www.bossclaw.org/privacy,未明确说明,未明确说明,未提及,有,3831095bf5a5b5f8,否,2026-06-17T11:35:08Z,
easy-token.com,无,,,,,,,,2026-06-17T11:35:08Z,
api.euzhi.com,无,,,,,,,,2026-06-17T11:35:08Z,
langziapi.online,有,https://langziapi.online/privacy,未明确说明,未明确说明,未提及,有,a949c8d08d9919d9,否,2026-06-17T11:35:08Z,
mentoe.com,无,,,,,,,,2026-06-17T11:35:08Z,
mnapi.com,无,,,,,,,,2026-06-17T11:35:08Z,
apinova.cc,无,,,,,,,,2026-06-17T11:35:08Z,
x.dogenet.win,有,https://x.dogenet.win/privacy,声称不收集,未明确说明,提及,有,6161d6a91e6547ec,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
api.yunserver.cn,无,,,,,,,,2026-06-17T11:35:08Z,
jiekou.ai,有,https://jiekou.ai:443/zh,未明确说明,未明确说明,未提及,有,b3e864541ce1ca90,否,2026-06-17T11:35:08Z,
yxaiapp.com,无,,,,,,,,2026-06-17T11:35:08Z,
hemaapi.cc,无,,,,,,,,2026-06-17T11:35:08Z,
funnyskill.com,无,,,,,,,,2026-06-17T11:35:08Z,
zhangyuapi.com,无,,,,,,,,2026-06-17T11:35:08Z,
ccrouter.ai,有,https://ccrouter.ai/privacy,未明确说明,未明确说明,未提及,有,2251db2a46c5196e,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
cckeys.top,无,,,,,,,,2026-06-17T11:35:08Z,
airouter.mxyhi.com,无,,,,,,,,2026-06-17T11:35:08Z,
iacc.cc,无,,,,,,,,2026-06-17T11:35:08Z,
newapi.junjun.site,无,,,,,,,,2026-06-17T11:35:08Z,
callxyq.xyz,无,,,,,,,,2026-06-17T11:35:08Z,
platform.ope.ai,有,https://platform.ope.ai/privacy,未明确说明,未明确说明,未提及,无,7b5f4481473d9434,否,2026-06-17T11:35:08Z,
pixelmuse.shop,有,https://pixelmuse.shop/privacy,未明确说明,未明确说明,未提及,有,7c33fd518f3a0f35,否,2026-06-17T11:35:08Z,
ppword.cn,无,,,,,,,,2026-06-17T11:35:08Z,
enjoyapi.cc,有,https://enjoyapi.cc/privacy,未明确说明,未明确说明,未提及,有,09fffb94759a1514,否,2026-06-17T11:35:08Z,
api.getezclaw.com,无,,,,,,,,2026-06-17T11:35:08Z,
apiclaude.cc,无,,,,,,,,2026-06-17T11:35:08Z,
codesome.ai,无,,,,,,,,2026-06-17T11:35:08Z,
us.usclaude.us,有,https://us.usclaude.us/privacy,未明确说明,未明确说明,未提及,有,1e7fc27fde510764,否,2026-06-17T11:35:08Z,
api.hepingan.top,有,https://api.hepingan.top/privacy,未明确说明,未明确说明,提及,有,16b8035c5a69550f,否,2026-06-17T11:35:08Z,
huiliuapi.com,无,,,,,,,,2026-06-17T11:35:08Z,
jmyr.net,无,,,,,,,,2026-06-17T11:35:08Z,
ai.cdn.ad,有,https://ai.cdn.ad/privacy,未明确说明,未明确说明,未提及,有,13d4f6e0b15b53a7,否,2026-06-17T11:35:08Z,
nbapi.cc,无,,,,,,,,2026-06-17T11:35:08Z,
api.openaeon.ai,无,,,,,,,,2026-06-17T11:35:08Z,
opentk.ai,有,https://opentk.ai/privacy,未明确说明,未明确说明,未提及,有,c361512437a152ea,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
zaimaai.cn,无,,,,,,,,2026-06-17T11:35:08Z,
ccfly.codes,有,https://ccfly.codes/privacy,未明确说明,未明确说明,未提及,有,19339aeb91f8ba6e,否,2026-06-17T11:35:08Z,
codexone.aieania.tech,有,https://codexone.aieania.tech/privacy,未明确说明,未明确说明,未提及,有,f79bd197396eadb0,否,2026-06-17T11:35:08Z,2026-06-16T11:53:45Z
duckcode.cn,无,,,,,,,,2026-06-17T11:35:08Z,
hk.hhnto.top,无,,,,,,,,2026-06-17T11:35:08Z,
api.owlai.tech,有,https://api.owlai.tech/privacy,未明确说明,未明确说明,未提及,有,e73bfdac24f150f3,是,2026-06-17T11:35:08Z,2026-06-17T11:35:08Z
proxy2it.com,有,https://proxy2it.com/privacy,未明确说明,未明确说明,提及,有,7150319319ff46d5,否,2026-06-17T11:35:08Z,
api.satuo66.online,无,,,,,,,,2026-06-17T11:35:08Z,
api.ejkoy.com,有,https://api.ejkoy.com/privacy,未明确说明,未明确说明,未提及,有,7b412fcbdddcfc08,否,2026-06-17T11:35:08Z,
api.feng.cx,无,,,,,,,,2026-06-17T11:35:08Z,
hiapi.store,无,,,,,,,,2026-06-17T11:35:08Z,
daidaibird.top,无,,,,,,,,2026-06-17T11:35:08Z,
codex.dakeai.cc,有,https://codex.dakeai.cc/privacy,未明确说明,未明确说明,未提及,有,0a996c5437d0b319,否,2026-06-17T11:35:08Z,
api.laozhang.ai,有,https://api.laozhang.ai/privacy,未明确说明,未明确说明,未提及,无,c1ee9d182286c36a,否,2026-06-17T11:35:08Z,
hos.chatopens.vip,有,https://hos.chatopens.vip/Web/List.html,未明确说明,未明确说明,未提及,无,90991c47d552b3be,否,2026-06-17T11:35:08Z,
api.whatai.cc,无,,,,,,,,2026-06-17T11:35:08Z,
www.metachat.work,无,,,,,,,,2026-06-17T11:35:08Z,
claude.hk.cn,无,,,,,,,,2026-06-17T11:35:08Z,
web.mmw.ink,有,https://web.mmw.ink/privacy,未明确说明,未明确说明,未提及,无,e426a6501f981429,否,2026-06-17T11:35:08Z,
chat.chesspnt.com,无,,,,,,,,2026-06-17T11:35:08Z,
infistar.ai,无,,,,,,,,2026-06-17T11:35:08Z,
newapi.qwqtao.one,无,,,,,,,,2026-06-17T11:35:08Z,
open.xiaojingai.com,有,https://open.xiaojingai.com/privacy,未明确说明,未明确说明,未提及,无,e0f1e3bf66b822d5,否,2026-06-17T11:35:08Z,
newapi.youkies.space,有,https://newapi.youkies.space/privacy,未明确说明,未明确说明,未提及,无,956ba4a5a4aa8d56,否,2026-06-17T11:35:08Z,
www.freezapi.eu.cc,无,,,,,,,,2026-06-17T11:35:08Z,
meeyo.org,无,,,,,,,,2026-06-17T11:35:08Z,
arpanet.icu,无,,,,,,,,2026-06-17T11:35:08Z,
api.ebutterfly.cc,无,,,,,,,,2026-06-17T11:35:08Z,
xinggangai.com,无,,,,,,,,2026-06-17T11:35:08Z,
spritnest.com,无,,,,,,,,2026-06-17T11:35:08Z,
api.dongli.work,无,,,,,,,,2026-06-17T11:35:08Z,
api.uglycat.cc,无,,,,,,,,2026-06-17T11:35:08Z,
www.aladingapi.cc,无,,,,,,,,2026-06-17T11:35:08Z,
cdn.sta1n.cn,无,,,,,,,,2026-06-17T11:35:08Z,
hohoapi.com,无,,,,,,,,2026-06-17T11:35:08Z,
www.gogoapi.cloud,无,,,,,,,,2026-06-17T11:35:08Z,
shitang359.space,无,,,,,,,,2026-06-17T11:35:08Z,
ai-szzx.online,有,https://ai-szzx.online/privacy,未明确说明,未明确说明,未提及,无,acd9afef79199db3,否,2026-06-17T11:35:08Z,
hvoy_removed,无,,,,,,,,2026-06-17T11:35:08Z,
