domain,telegram,qq_group,wechat,discord,has_affiliate,affiliate_url,last_checked
token.baogutang.top,,783246411,NIKOOH1217,,有,https://token.baogutang.top/invite,2026-06-16T12:33:53Z
ergouapi.com,,,,,无,,2026-06-16T12:33:53Z
cc.anyroute.io,,,caixinxia006,,有,https://cc.anyroute.io/invite,2026-06-16T12:33:53Z
codefwd.top,,,,,无,,2026-06-16T12:33:53Z
sub2.congmingai.com,t.me/congmingxiayou1,,_oauth_enabled,,有,https://sub2.congmingai.com/invite,2026-06-16T12:33:53Z
safeapi.vip,,,-text,,无,,2026-06-16T12:33:53Z
cubence.com,,,,,无,,2026-06-16T12:33:53Z
ai.kividas.com,,,,,无,,2026-06-16T12:33:53Z
api.vectorengine.ai,,,,,有,https://api.vectorengine.ai/invite,2026-06-16T12:33:53Z
api.gpt.ge,,,,,无,,2026-06-16T12:33:53Z
api.timebackward.com,,,,,有,https://api.timebackward.com/invite,2026-06-16T12:33:53Z
infai.cc,,,,,有,https://infai.cc/invite,2026-06-16T12:33:53Z
openclaudecode.cn,,,,,,,2026-06-16T12:33:53Z
ephone.ai,,,,,无,,2026-06-16T12:33:53Z
api.vip.crond.dev,,,,,无,,2026-06-16T12:33:53Z
api.gemai.cc,,,,,无,,2026-06-16T12:33:53Z
api.dzzi.ai,,,,,无,,2026-06-16T12:33:53Z
ddshub.cc,,,_oauth_enabled,,有,https://ddshub.cc/invite,2026-06-16T12:33:53Z
az.zlapi.vip,,,,,无,,2026-06-16T12:33:53Z
api.tryallai.com,,,,,,,2026-06-16T12:33:53Z
traxnode.com,,,,,无,,2026-06-16T12:33:53Z
aiberm.com,,,,,无,,2026-06-16T12:33:53Z
findcg.com,,,,,,,2026-06-16T12:33:53Z
dataeyes.ai,,,AppId,,无,,2026-06-16T12:33:53Z
easyrouter.io,,,,,无,,2026-06-16T12:33:53Z
tokaify.com,,,,,无,,2026-06-16T12:33:53Z
linkapi.ai,,,,,无,,2026-06-16T12:33:53Z
api.xaix.me,,,,,无,,2026-06-16T12:33:53Z
ai.centos.hk,,,,,无,,2026-06-16T12:33:53Z
api.qiyiguo.uk,,,,,无,,2026-06-16T12:33:53Z
ai.xlyun.pro,,,,,无,,2026-06-16T12:33:53Z
api.ekan8.com,,,,,无,,2026-06-16T12:33:53Z
claudeagent.com.cn,,,,,无,,2026-06-16T12:33:53Z
superapi.buzz,,,,,无,,2026-06-16T12:33:53Z
xcode.best,,,,,无,,2026-06-16T12:33:53Z
api.discordtool.vip,,,,,无,,2026-06-16T12:33:53Z
bobdong.cn,,,,,无,,2026-06-16T12:33:53Z
ai.17nas.com,,,,,,,2026-06-16T12:33:53Z
api.squarefaceicon.org,,,,,无,,2026-06-16T12:33:53Z
gua.guagua.uk,,,,,无,,2026-06-16T12:33:53Z
xiaoruiapi.cc,,,,,无,,2026-06-16T12:33:53Z
sparkcode.top,,,,,无,,2026-06-16T12:33:53Z
uocode.com,,,,,无,,2026-06-16T12:33:53Z
aaatoken.cn,,,,,无,,2026-06-16T12:33:53Z
ai.flashapi.top,,,,,无,,2026-06-16T12:33:53Z
api.rootflowai.com,,,,,无,,2026-06-16T12:33:53Z
code.b886.top,,,,,,,2026-06-16T12:33:53Z
cooper-api.com,,,,,无,,2026-06-16T12:33:53Z
timesniper.club,,,,,无,,2026-06-16T12:33:53Z
api.shiyutv.cn,,,_oauth_enabled,,有,https://api.shiyutv.cn/invite,2026-06-16T12:33:53Z
ai.xem8k5.top,,,,,无,,2026-06-16T12:33:53Z
huanapi.com,,,,,无,,2026-06-16T12:33:53Z
main-new.codesuc.top,,,,,无,,2026-06-16T12:33:53Z
cca.maya.today,,,_oauth_enabled,,有,https://cca.maya.today/invite,2026-06-16T12:33:53Z
new.050602.xyz,,,,,无,,2026-06-16T12:33:53Z
user.tocodex.com,,,,,无,,2026-06-16T12:33:53Z
nextoken.online,,,T246525465,,有,https://nextoken.online/invite,2026-06-16T12:33:53Z
free.learn-ai.top,,,,,无,,2026-06-16T12:33:53Z
mzlone.top,,,,,无,,2026-06-16T12:33:53Z
buzzai.cc,,,,,无,,2026-06-16T12:33:53Z
api.luccc.uk,,,,,无,,2026-06-16T12:33:53Z
fucheers.top,,,,,,,2026-06-16T12:33:53Z
api.aisz.mom,,,,,无,,2026-06-16T12:33:53Z
chat.ekti.cc,,,,,无,,2026-06-16T12:33:53Z
mytokenpi.com,,,,,无,,2026-06-16T12:33:53Z
api.sbbbbbbbbb.xyz,,,,,有,https://api.sbbbbbbbbb.xyz/invite,2026-06-16T12:33:53Z
api.sunskii.com,,753378823,_oauth_enabled,,有,https://api.sunskii.com/invite,2026-06-16T12:33:53Z
manbouapi.com,,,,,无,,2026-06-16T12:33:53Z
derouter.ai,t.me/derouter_ai,,,,有,https://derouter.ai/referral,2026-06-16T12:33:53Z
code.newcli.com,,,,,,,2026-06-16T12:33:53Z
1xm.ai,,,,,无,,2026-06-16T12:33:53Z
aiapi.world,,,,,无,,2026-06-16T12:33:53Z
api.aicodemirror.com,,,,,无,,2026-06-16T12:33:53Z
beecode.cc,,,_oauth_enabled,,有,https://beecode.cc/invite,2026-06-16T12:33:53Z
cc-vibe.com,t.me/+_QKy,,_oauth_enabled,,有,https://cc-vibe.com/invite,2026-06-16T12:33:53Z
dragoncode.codes,,,_enabled,,无,,2026-06-16T12:33:53Z
lucen.cc,,,,,无,,2026-06-16T12:33:53Z
subrouter.ai,,,,,无,,2026-06-16T12:33:53Z
tcdmx.com,,,_oauth_enabled,,有,https://tcdmx.com/invite,2026-06-16T12:33:53Z
timicc.com,,1078510185,_oauth_enabled,,有,https://timicc.com/invite,2026-06-16T12:33:53Z
timyai.com,,,,,无,,2026-06-16T12:33:53Z
co.yes.vg,,,,,无,,2026-06-16T12:33:53Z
api.lingshuai.cc,,,wxt67888888,,有,https://api.lingshuai.cc/invite,2026-06-16T12:33:53Z
api.aigocode.com,t.me/+DjOEPVxszZw2NjRh,,,,无,,2026-06-16T12:33:53Z
api.b.ai,,,,,,,2026-06-16T12:33:53Z
api.aibinghe.xyz,,1106800832,_oauth_enabled,,有,https://api.aibinghe.xyz/invite,2026-06-16T12:33:53Z
thestocklist.site,,,,,无,,2026-06-16T12:33:53Z
freemodel.dev,,,,,无,,2026-06-16T12:33:53Z
gpt.hslife.fun,,1098863142,_oauth_enabled,,有,https://gpt.hslife.fun/invite,2026-06-16T12:33:53Z
prismapi.site,,,,,无,,2026-06-16T12:33:53Z
sssaicode.com,,,,,有,https://sssaicode.com/invite,2026-06-16T12:33:53Z
api.clawopen.top,,,,,无,,2026-06-16T12:33:53Z
terminal.pub,,,,,无,,2026-06-16T12:33:53Z
tokeness.cn,,,,,无,,2026-06-16T12:33:53Z
zerocode.sbs,,,,,无,,2026-06-16T12:33:53Z
api.tu-zi.com,,,,,无,,2026-06-16T12:33:53Z
xb1520.com,,1404928196,_oauth_enabled,,有,https://xb1520.com/invite,2026-06-16T12:33:53Z
tokenflux.dev,t.me/+OjE,,_oauth_enabled,,有,https://tokenflux.dev/invite,2026-06-16T12:33:53Z
tongapi.com,,,,,无,,2026-06-16T12:33:53Z
api.aircode.xin,,,_oauth_enabled,,有,https://api.aircode.xin/invite,2026-06-16T12:33:53Z
allinai7.cloud,,,,,无,,2026-06-16T12:33:53Z
hk.ccplus.site,,"1025463125, 645507046",W17513733712,,有,https://hk.ccplus.site/invite,2026-06-16T12:33:53Z
cialloapi.cn,,,,,无,,2026-06-16T12:33:53Z
mx.free.codesonline.dev,,656827785,_oauth_enabled,,有,https://mx.free.codesonline.dev/invite,2026-06-16T12:33:53Z
api.hack3rx.cn,,1016970550,_oauth_enabled,,有,https://api.hack3rx.cn/invite,2026-06-16T12:33:53Z
kelaiapi.cc,,,,,无,,2026-06-16T12:33:53Z
llmgw.cn,,,,,无,,2026-06-16T12:33:53Z
tokenonly.ai,,,,,无,,2026-06-16T12:33:53Z
zivv.pro,,,,,无,,2026-06-16T12:33:53Z
code.silkapi.com,,,_oauth_enabled,,有,https://code.silkapi.com/invite,2026-06-16T12:33:53Z
boya.one,,,,,,,2026-06-16T12:33:53Z
bmai.kun8.vip,,,_oauth_enabled,,有,https://bmai.kun8.vip/invite,2026-06-16T12:33:53Z
loptu.net,,,,,无,,2026-06-16T12:33:53Z
api.leleweb.cn,,,_oauth_enabled,,有,https://api.leleweb.cn/invite,2026-06-16T12:33:53Z
api.uniprep.world,,,,,无,,2026-06-16T12:33:53Z
api.baobu.xyz,,,_oauth_enabled,,有,https://api.baobu.xyz/invite,2026-06-16T12:33:53Z
bossclaw.org,,,_oauth_enabled,,有,https://bossclaw.org/invite,2026-06-16T12:33:53Z
easy-token.com,,,PayDesc,,无,,2026-06-16T12:33:53Z
api.euzhi.com,,,,,无,,2026-06-16T12:33:53Z
langziapi.online,,3293238230,_oauth_enabled,,有,https://langziapi.online/invite,2026-06-16T12:33:53Z
mentoe.com,,,,,,,2026-06-16T12:33:53Z
mnapi.com,,,,,,,2026-06-16T12:33:53Z
apinova.cc,,,,,无,,2026-06-16T12:33:53Z
ogog.ai,,,,,无,,2026-06-16T12:33:53Z
x.dogenet.win,t.me/omg_pub,,QRDesc,discord.gg/rzMZGwuxpZ,无,,2026-06-16T12:33:53Z
api.yunserver.cn,,,,,无,,2026-06-16T12:33:53Z
jiekou.ai,t.me/+ZKN8T8Hk8ggwYWMx,,,,有,https://jiekou.ai/referral,2026-06-16T12:33:53Z
yxaiapp.com,,,,,,,2026-06-16T12:33:53Z
hemaapi.cc,,,,,无,,2026-06-16T12:33:53Z
funnyskill.com,,,,,有,https://funnyskill.com/invite,2026-06-16T12:33:53Z
zhangyuapi.com,,,,,,,2026-06-16T12:33:53Z
ccrouter.ai,t.me/ccrouterAI,,_oauth_enabled,,有,https://ccrouter.ai/invite,2026-06-16T12:33:53Z
cckeys.top,,,,,,,2026-06-16T12:33:53Z
airouter.mxyhi.com,,,,,无,,2026-06-16T12:33:53Z
iacc.cc,,,,,无,,2026-06-16T12:33:53Z
newapi.junjun.site,,,,,,,2026-06-16T12:33:53Z
callxyq.xyz,,,,,无,,2026-06-16T12:33:53Z
platform.ope.ai,,,,,无,,2026-06-16T12:33:53Z
pixelmuse.shop,,,,,无,,2026-06-16T12:33:53Z
ppword.cn,,,,,无,,2026-06-16T12:33:53Z
enjoyapi.cc,,,_oauth_enabled,,有,https://enjoyapi.cc/invite,2026-06-16T12:33:53Z
api.getezclaw.com,,,,,无,,2026-06-16T12:33:53Z
codesome.ai,,,,,无,,2026-06-16T12:33:53Z
us.usclaude.us,,,,,有,https://us.usclaude.us/invite,2026-06-16T12:33:53Z
api.hepingan.top,,1973016127,_oauth_enabled,,有,https://api.hepingan.top/invite,2026-06-16T12:33:53Z
huiliuapi.com,,,,,,,2026-06-16T12:33:53Z
jmyr.net,,,,,无,,2026-06-16T12:33:53Z
ai.cdn.ad,,,_oauth_enabled,,有,https://ai.cdn.ad/invite,2026-06-16T12:33:53Z
nbapi.cc,,,,,无,,2026-06-16T12:33:53Z
api.openaeon.ai,,,,,无,,2026-06-16T12:33:53Z
opentk.ai,,,_oauth_enabled,,有,https://opentk.ai/invite,2026-06-16T12:33:53Z
zaimaai.cn,,,,,,,2026-06-16T12:33:53Z
apiclaude.cc,,,,,无,,2026-06-16T12:33:53Z
ccfly.codes,,,,,有,https://ccfly.codes/invite,2026-06-16T12:33:53Z
codexone.aieania.tech,,630150026,_oauth_enabled,,有,https://codexone.aieania.tech/invite,2026-06-16T12:33:53Z
duckcode.cn,,,,,,,2026-06-16T12:33:53Z
hk.hhnto.top,,,,,无,,2026-06-16T12:33:53Z
api.owlai.tech,,2270590574,_oauth_enabled,,有,https://api.owlai.tech/invite,2026-06-16T12:33:53Z
proxy2it.com,,965070056,_oauth_enabled,,有,https://proxy2it.com/invite,2026-06-16T12:33:53Z
api.satuo66.online,,,,,无,,2026-06-16T12:33:53Z
api.ejkoy.com,,1078053973,_oauth_enabled,,有,https://api.ejkoy.com/invite,2026-06-16T12:33:53Z
api.feng.cx,,,,,无,,2026-06-16T12:33:53Z
hiapi.store,,,,,无,,2026-06-16T12:33:53Z
daidaibird.top,,,,,,,2026-06-16T12:33:53Z
llmapi.pro,,,,,有,https://llmapi.pro/invite,2026-06-16T12:33:53Z
codex.dakeai.cc,,2415997472,,,无,,2026-06-16T12:33:53Z
api.laozhang.ai,,,,,无,,2026-06-16T12:33:53Z
hos.chatopens.vip,,,,,无,,2026-06-16T12:33:53Z
api.whatai.cc,,,,,无,,2026-06-16T12:33:53Z
www.metachat.work,,,,,无,,2026-06-16T12:33:53Z
claude.hk.cn,,,,,无,,2026-06-16T12:33:53Z
web.mmw.ink,,,,,无,,2026-06-16T12:33:53Z
chat.chesspnt.com,,,,,无,,2026-06-16T12:33:53Z
infistar.ai,,,,,无,,2026-06-16T12:33:53Z
newapi.qwqtao.one,,,,,无,,2026-06-16T12:33:53Z
open.xiaojingai.com,,,,,无,,2026-06-16T12:33:53Z
newapi.youkies.space,,,,,无,,2026-06-16T12:33:53Z
www.freezapi.eu.cc,,,,,无,,2026-06-16T12:33:53Z
meeyo.org,,,,,无,,2026-06-16T12:33:53Z
arpanet.icu,,,,,无,,2026-06-16T12:33:53Z
api.ebutterfly.cc,,,,,无,,2026-06-16T12:33:53Z
xinggangai.com,,,,,无,,2026-06-16T12:33:53Z
spritnest.com,,,,,无,,2026-06-16T12:33:53Z
api.dongli.work,,,,,无,,2026-06-16T12:33:53Z
api.uglycat.cc,,,,,,,2026-06-16T12:33:53Z
www.aladingapi.cc,,,,,无,,2026-06-16T12:33:53Z
cdn.sta1n.cn,,,,,无,,2026-06-16T12:33:53Z
hohoapi.com,,,,,无,,2026-06-16T12:33:53Z
www.gogoapi.cloud,,,,,有,https://www.gogoapi.cloud/invite,2026-06-16T12:33:53Z
shitang359.space,,,,,,,2026-06-16T12:33:53Z
ai-szzx.online,,,,,无,,2026-06-16T12:33:53Z
hvoy_removed,,,,,,,2026-06-16T12:33:53Z
