domain,verdict,app_family,app_stack_guess,status_class,confidence,version,evidence
onerouter.cn,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.24.0 (Ubuntu)
onlyrouter.ai,genuine_unknown,unknown,unknown,unidentified,none,,cloudflare:header:server=cloudflare
openox.tech,genuine_unknown,unknown,unknown,unidentified,none,,cloudflare:header:server=cloudflare
openrouter.team,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.24.0 (Ubuntu)
proxystacks.com,genuine_unknown,unknown,unknown,unidentified,none,,cloudflare:header:server=cloudflare
qilingai.net,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.20.1
samyu15.com,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.18.0 (Ubuntu)
silkroadai.io,hidden_one_api,one-api-family,new-api|one-api,identified,high,v1.0.0-rc.2,header:x-new-api-version=v1.0.0-rc.2 ; header:x-oneapi-request-id=202607112218574530238278268d9d6bdZInYDR
starstartai.com,genuine_unknown,unknown,unknown,unidentified,none,,
szjsai.cn,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx
szjsai.com,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx
teai.io,genuine_unknown,unknown,unknown,unidentified,none,,
tokencall.cn,hidden_one_api,one-api-family,one-api,identified,high,,header:x-oneapi-request-id=2026071206201112288851460568886 ; nginx:header:server=nginx/1.24.0 (Ubuntu)
tokencheap.ai,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx
tokencraft.cc,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.29.8
tokengo.love,genuine_unknown,unknown,unknown,unidentified,none,,cloudflare:header:server=cloudflare
vantapi.com,genuine_unknown,unknown,unknown,unidentified,none,,
xiaoyue9527.xyz,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.31.0
xuanduai.com,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.24.0 (Ubuntu)
yaogod.com,genuine_unknown,unknown,unknown,unidentified,none,,
ycvip.net,genuine_unknown,unknown,unknown,unidentified,none,,
ycvvip.net,genuine_unknown,unknown,unknown,unidentified,none,,
yhapiplatform.com,dead,unknown,unknown,unreachable,none,,
youqi.tech,genuine_unknown,unknown,unknown,spa_shell,none,,nginx:header:server=nginx/1.24.0
yout.chat,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx
yxai.chat,genuine_unknown,unknown,unknown,spa_shell,none,,nginx:header:server=nginx/1.31.0
zhumengwangluo.top,genuine_unknown,unknown,unknown,unidentified,none,,nginx:header:server=nginx/1.24.0
