captured_date,payload_updated_at,siteDomain,site,relaySiteId,model_tab_count,model_tabs,model_keys,channel_count,price_min_cny,price_max_cny,avg_online_rate,avg_pass_rate,avg_latency_s,last_results,site_urls
2026-06-23,2026-06-23T07:20:07.500Z,api.hangzhale.com,夯炸了AI,40111,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.375,4.75,96.78,99.25,5.77,pass,https://api.hangzhale.com/register
2026-06-23,2026-06-23T07:20:07.500Z,api.ikuncode.cc,IKunCode,39819,4,opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,2,2.4,11.5,95.68,97.78,6.15,error|pass,https://api.ikuncode.cc/register
2026-06-23,2026-06-23T07:20:07.500Z,api.muskapi.cc,MuskAI,39946,3,gpt54|gpt55|opus48,claude-opus-4-8|gpt-5.4|gpt-5.5,2,1.0,6.25,95.0,94.07,5.2,pass,https://api.muskapi.cc/register
2026-06-23,2026-06-23T07:20:07.500Z,api.rkai6.com,RK API,40178,3,gpt54|gpt55|gptimage2,gpt-5.4|gpt-5.5|gpt-image-2,1,0.05,2.5,97.13,99.3,19.3,pass,https://api.rkai6.com/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,api.tallius.ai,tallius.ai,40206,5,gpt54|gpt55|opus46|opus47|opus48,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|gpt-5.4|gpt-5.5,1,0.483,8.05,99.16,97.42,6.2,pass,https://api.tallius.ai/profile
2026-06-23,2026-06-23T07:20:07.500Z,api.whlemon.cn,橙芯算力,40239,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,2.5,5.0,98.95,98.95,9.05,pass,https://api.whlemon.cn/register
2026-06-23,2026-06-23T07:20:07.500Z,api.xpluse.plus,数智AI,39973,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,2.25,9.0,99.65,99.28,5.73,pass,https://api.xpluse.plus/register
2026-06-23,2026-06-23T07:20:07.500Z,api.ykh.ai,YKH.AI,39975,2,gpt54|gpt55,gpt-5.4|gpt-5.5,2,0.315,2.5,98.95,100.0,8.05,pass,https://api.ykh.ai/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,apiporter.com,Apiporter,40327,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.75,10.0,96.73,95.78,6.75,fail|pass,https://apiporter.com/register
2026-06-23,2026-06-23T07:20:07.500Z,ccgoai.com,ccgo,40281,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.875,8.5,100.0,99.65,4.9,fail|pass,https://www.ccgoai.com/home
2026-06-23,2026-06-23T07:20:07.500Z,ccmax20.cc,baby,40299,4,opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,1,3.0,5.0,98.92,100.0,3.77,pass,https://max20.cn/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,chintao.cn,Chintao AI,39795,5,gpt54|gpt55|opus46|opus47|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,3.5,52.5,97.0,93.26,7.28,pass,https://chintao.cn/register
2026-06-23,2026-06-23T07:20:07.500Z,chiyicn.com,词易,40001,4,gpt54|gpt55|opus47|opus48,claude-opus-4-7|claude-opus-4-8|gpt-5.4|gpt-5.5,2,0.5,8.0,98.93,97.85,6.28,fail|pass,https://chiyicn.com/register
2026-06-23,2026-06-23T07:20:07.500Z,claude-api.org,Claude-API,39955,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.875,7.0,99.65,99.65,5.48,pass,https://claude-api.org/register
2026-06-23,2026-06-23T07:20:07.500Z,claudeapi.com,Claude API,40010,4,opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,1,16.21656,27.0276,99.45,99.45,4.45,pass,https://claudeapi.com/
2026-06-23,2026-06-23T07:20:07.500Z,claudecn.top,ClaudeCN,39799,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.25,8.0,97.15,98.18,5.63,error|pass,https://claudecn.top/register
2026-06-23,2026-06-23T07:20:07.500Z,coderelay.cn,CodeRelay,39801,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.75,7.5,96.43,93.98,5.3,fail|pass,https://coderelay.cn/console/personal
2026-06-23,2026-06-23T07:20:07.500Z,daodunapi.com,我的刀盾,40121,4,opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,1,3.6,6.0,97.85,99.45,4.02,pass,https://daodunapi.com/
2026-06-23,2026-06-23T07:20:07.500Z,dawclaudecode.com,DawCode,39807,5,gpt54|gpt55|opus47|opus48|sonnet46,claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,0.875,30.0,99.58,99.56,5.28,pass,https://dawclaudecode.com/register
2026-06-23,2026-06-23T07:20:07.500Z,ergouapi.com,二狗 API,40285,3,gpt54|gpt55|opus46,claude-opus-4-6|gpt-5.4|gpt-5.5,1,2.0,3.75,92.93,99.3,6.83,pass,https://ergouapi.com/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,https://api.tmlab.store/pricing,Z-API,40323,3,gpt54|gpt55|opus46,claude-opus-4-6|gpt-5.4|gpt-5.5,2,0.4,75.0,97.17,100.0,8.9,pass,https://api.tmlab.store/pricing
2026-06-23,2026-06-23T07:20:07.500Z,huiyun.asia,汇云AI,40184,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,2.1,4.59,99.65,99.28,7.02,pass,https://huiyun.asia/login
2026-06-23,2026-06-23T07:20:07.500Z,juxingai.top,聚星AI,40123,5,gpt54|gpt55|opus46|opus47|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,2.2944,5.22,99.58,96.58,8.14,pass,https://juxingai.top/register
2026-06-23,2026-06-23T07:20:07.500Z,limiao.net,哩喵中转栈,39922,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.5,8.0,98.95,97.83,5.23,fail|pass,https://limiao.net/register
2026-06-23,2026-06-23T07:20:07.500Z,lingsuan.top,灵算,39980,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.3,8.0,99.28,99.28,6.2,pass,https://lingsuan.top/register
2026-06-23,2026-06-23T07:20:07.500Z,linkai.shop,LinkAi,40225,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.75,7.0,99.3,99.65,5.6,pass,https://linkai.shop/register
2026-06-23,2026-06-23T07:20:07.500Z,llmapi.pro,LLMAPI,39825,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,1,2.5,6.0,95.7,99.22,5.73,error|pass,https://llmapi.pro/register
2026-06-23,2026-06-23T07:20:07.500Z,main-new.codesuc.top,CodeSuc Hub,39804,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,6.3875,62.05,94.95,95.67,6.95,error|pass,https://main-new.codesuc.top/register
2026-06-23,2026-06-23T07:20:07.500Z,modcon.top,ModCon,40106,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,0.7,8.5,98.9,98.93,5.8,pass,https://modcon.top/register
2026-06-23,2026-06-23T07:20:07.500Z,mytokenpi.com,mytokenpi,40136,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.6125,12.25,99.65,99.63,6.13,pass,https://mytokenpi.com/register
2026-06-23,2026-06-23T07:20:07.500Z,nekocode.ai,NekoCode,39832,4,opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,1,4.05,6.75,100.0,96.75,3.65,pass,https://nekocode.ai/
2026-06-23,2026-06-23T07:20:07.500Z,nexaxis.ai,Nexaxis,40300,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.0,5.0,97.83,99.65,6.02,pass,https://nexaxis.ai/register
2026-06-23,2026-06-23T07:20:07.500Z,officesai.top,OfficesAI,40231,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.675,4.5,93.2,98.13,6.45,pass,https://officesai.top/
2026-06-23,2026-06-23T07:20:07.500Z,packyapi.com,PackyCode,39842,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.25,10.0,97.85,98.92,5.63,error|pass,https://www.packyapi.com/register
2026-06-23,2026-06-23T07:20:07.500Z,poixe.com,Poixe AI,39845,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,1,14.0,28.0,99.3,98.92,5.75,pass,https://poixe.com/
2026-06-23,2026-06-23T07:20:07.500Z,portal.gpteamservices.com,GPTEAM,39923,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.018038,6.786919,98.95,94.6,5.18,fail|pass,https://portal.gpteamservices.com/portal/register
2026-06-23,2026-06-23T07:20:07.500Z,portal123.top,Portal,40338,1,gpt55,gpt-5.5,1,,,91.2,93.5,13.3,error,https://portal123.top/register
2026-06-23,2026-06-23T07:20:07.500Z,qiuqiutoken.com,球球Token,39921,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,0.95,1.9,96.8,100.0,13.35,pass,https://qiuqiutoken.com/register
2026-06-23,2026-06-23T07:20:07.500Z,right.codes,RightCode,39848,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.0,10.0,97.52,98.92,5.23,error|pass,https://www.right.codes/register
2026-06-23,2026-06-23T07:20:07.500Z,runapi.co,RunAPI,39850,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,1.250001,10.17,99.63,98.93,6.13,pass,https://runapi.co/register
2026-06-23,2026-06-23T07:20:07.500Z,sadai.top,SadAI,40308,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,0.258,0.516,92.45,98.85,10.0,pass,https://sadai.top/
2026-06-23,2026-06-23T07:20:07.500Z,sevnx.one,SevnX,40174,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.375,6.0,99.63,97.68,6.1,pass,https://www.sevnx.one/
2026-06-23,2026-06-23T07:20:07.500Z,sub2api.luchikey.com,luchikey,40007,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.72,36.0,96.08,97.4,5.85,pass,https://sub2api.luchikey.com/register
2026-06-23,2026-06-23T07:20:07.500Z,sudobug.top,SudoBug,40298,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.725,7.0,99.3,98.22,5.77,pass,https://sudobug.top/register
2026-06-23,2026-06-23T07:20:07.500Z,sudocode.chat,SudoCode,40095,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,1,0.5,7.0,98.93,99.27,5.13,pass,https://sudocode.chat/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,sudocode.us,sudocode.us,40133,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,1,5.94125,16.975,98.57,91.08,6.28,pass,https://sudocode.us/
2026-06-23,2026-06-23T07:20:07.500Z,sui-xiang.com,SuiXiang,40328,1,gpt55,gpt-5.5,1,,,100.0,100.0,14.6,pass,https://sui-xiang.com/register
2026-06-23,2026-06-23T07:20:07.500Z,switchbase.vip,SwitchBase,39856,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,0.6,1.2,100.0,96.8,8.45,fail|pass,https://switchbase.vip/register
2026-06-23,2026-06-23T07:20:07.500Z,tieapi.com,TieAPI,40274,3,opus47|opus48|sonnet46,claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,1,,,100.0,100.0,3.9,pass,https://tieapi.com/register
2026-06-23,2026-06-23T07:20:07.500Z,token.baogutang.top,N1KO-API,40224,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,,,92.57,92.52,5.8,error|pass,https://token.baogutang.top/register
2026-06-23,2026-06-23T07:20:07.500Z,toknex.ai,Toknex,40158,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,1.0,10.0,99.63,100.0,5.33,pass,https://toknex.ai/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,toolcode.top,ToolCode,40208,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,0.5,8.0,99.65,99.28,5.2,pass,https://toolcode.top/register
2026-06-23,2026-06-23T07:20:07.500Z,unity2.ai,unity2,39968,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.0,10.0,99.65,98.93,7.13,pass,https://unity2.ai/register?source=hvoy
2026-06-23,2026-06-23T07:20:07.500Z,uuapi.net,UU API,39863,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,1.0,10.0,99.65,100.0,5.43,pass,https://uuapi.net/register
2026-06-23,2026-06-23T07:20:07.500Z,wintoken.dev,WinToken,40325,7,gpt54|gpt55|gptimage2|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5|gpt-image-2,1,9.125,29.2,93.86,98.04,8.34,pass,https://wintoken.dev/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,worldbase.ai,WorldBase.ai,40169,4,gpt54|gpt55|opus46|sonnet46,claude-opus-4-6|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,1.725,5.175,98.95,98.95,5.8,pass,https://worldbase.ai/login
2026-06-23,2026-06-23T07:20:07.500Z,xbhuiz.com,XMAPI,40248,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,,,100.0,98.93,5.62,pass,https://xmapi.site/register?aff=HVOY
2026-06-23,2026-06-23T07:20:07.500Z,xcode.best,Xcode,39866,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.75,8.5,98.92,97.07,6.17,pass,https://xcode.best/register
2026-06-23,2026-06-23T07:20:07.500Z,xyc.ai,XycAi(星道智能),40216,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,5.52,14.49,93.88,98.02,6.4,pass,https://xyc.ai/sign-up
2026-06-23,2026-06-23T07:20:07.500Z,yundu.lat,云渡,40175,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.2375,8.0,96.08,100.0,6.25,pass,https://yundu.lat/register
2026-06-23,2026-06-23T07:20:07.500Z,zz.aigm99.cn,Green Mountain青山,40246,3,opus46|opus47|opus48,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8,1,6.0,6.0,97.83,98.53,3.9,pass,https://zz.aigm99.cn/sign-up
